Category;Item;Serving Size;Calories;Calories from Fat;Saturated Fat;Trans Fat;Cholesterol;Sodium;Carbohydrates;Dietary Fiber;Sugars;Protein
Beef & Pork;Daily Double;6.7 oz (190 g);430;200;9.0;1.0;80;760;34;2;7;22
Beef & Pork;Jalapeño Double;5.6 oz (159 g);430;210;9.0;1.0;80;1030;35;2;6;22
Beef & Pork;McRib;7.3 oz (208 g);500;240;10.0;0.0;70;980;44;3;11;22
Chicken & Fish;Premium Crispy Chicken Classic Sandwich;7.5 oz (213 g);510;200;3.5;0.0;45;990;55;3;10;24
Chicken & Fish;Premium Grilled Chicken Classic Sandwich;7 oz (200 g);350;80;2.0;0.0;65;820;42;3;8;28
Chicken & Fish;Premium Crispy Chicken Club Sandwich;8.8 oz (249 g);670;300;9.0;0.0;85;1410;58;3;11;36
Chicken & Fish;Premium Grilled Chicken Club Sandwich;8.3 oz (235 g);510;180;7.0;0.0;105;1250;44;3;9;40
Chicken & Fish;Premium Crispy Chicken Ranch BLT Sandwich;8.1 oz (230 g);610;250;6.0;0.0;70;1400;57;3;11;32
Chicken & Fish;Premium Grilled Chicken Ranch BLT Sandwich;7.6 oz (217 g);450;130;4.5;0.0;90;1230;43;3;9;36
Chicken & Fish;Bacon Clubhouse Crispy Chicken Sandwich;10 oz (284 g);750;340;10.0;0.5;90;1720;65;4;16;36
Chicken & Fish;Bacon Clubhouse Grilled Chicken Sandwich;9.5 oz (270 g);590;230;8.0;0.0;110;1560;51;4;14;40
Chicken & Fish;Southern Style Crispy Chicken Sandwich;5.6 oz (160 g);430;170;3.0;0.0;45;910;43;2;7;21
Chicken & Fish;McChicken;5.1 oz (143 g);360;140;3.0;0.0;35;800;40;2;5;14
Chicken & Fish;Bacon Cheddar McChicken;6 oz (171 g);480;220;7.0;0.0;65;1260;43;2;6;22
Chicken & Fish;Bacon Buffalo Ranch McChicken;5.7 oz (161 g);430;190;5.0;0.0;50;1260;41;2;6;20
Chicken & Fish;Buffalo Ranch McChicken;5.2 oz (148 g);360;150;3.0;0.0;35;990;40;2;5;14
Chicken & Fish;Premium McWrap Chicken & Bacon (Crispy Chicken);11.1 oz (316 g);630;280;9.0;0.5;80;1540;56;3;7;32
Chicken & Fish;Premium McWrap Chicken & Bacon (Grilled Chicken);10.7 oz (302 g);480;170;7.0;0.0;95;1370;42;3;6;36
Chicken & Fish;Premium McWrap Chicken & Ranch (Crispy Chicken);10.9 oz (310 g);610;280;8.0;0.5;65;1340;56;3;8;27
Chicken & Fish;Premium McWrap Chicken & Ranch (Grilled Chicken);10.5 oz (297 g);450;160;6.0;0.5;80;1170;42;3;6;30
Chicken & Fish;Premium McWrap Southwest Chicken (Crispy Chicken);11.1 oz (314 g);670;300;8.0;0.5;60;1480;68;5;12;27
Chicken & Fish;Premium McWrap Southwest Chicken (Grilled Chicken);11.2 oz (318 g);520;180;6.0;0.0;80;1320;55;5;10;31
Chicken & Fish;Premium McWrap Chicken Sweet Chili (Crispy Chicken);10.7 oz (304 g);540;200;4.5;0.0;50;1260;61;3;14;23
Chicken & Fish;Premium McWrap Chicken Sweet Chili (Grilled Chicken);10.3 oz (291 g);380;90;3.0;0.0;65;1090;47;3;12;27
Chicken & Fish;Chicken McNuggets (4 piece);2.3 oz (65 g);190;110;2.0;0.0;25;360;12;1;0;9
Chicken & Fish;Chicken McNuggets (6 piece);3.4 oz (97 g);280;160;3.0;0.0;40;540;18;1;0;13
Chicken & Fish;Chicken McNuggets (10 piece);5.7 oz (162 g);470;270;5.0;0.0;65;900;30;2;0;22
Chicken & Fish;Chicken McNuggets (20 piece);11.4 oz (323 g);940;530;10.0;0.0;135;1800;59;3;0;44
Chicken & Fish;Chicken McNuggets (40 piece);22.8 oz (646 g);1880;1060;20.0;1.0;265;3600;118;6;1;87
Chicken & Fish;Filet-O-Fish;5 oz (142 g);390;170;4.0;0.0;40;590;39;2;5;15
Salads;Premium Bacon Ranch Salad (without Chicken);7.9 oz (223 g);140;70;3.5;0.0;25;300;10;3;4;9
Salads;Premium Bacon Ranch Salad with Crispy Chicken;9 oz (255 g);380;190;6.0;0.0;70;860;22;2;5;25
Salads;Premium Bacon Ranch Salad with Grilled Chicken;8.5 oz (241 g);220;80;4.0;0.0;85;690;8;2;4;29
Salads;Premium Southwest Salad (without Chicken);8.1 oz (230 g);140;40;2.0;0.0;10;150;20;6;6;6
Salads;Premium Southwest Salad with Crispy Chicken;12.3 oz (348 g);450;190;4.5;0.0;50;850;42;7;12;23
Salads;Premium Southwest Salad with Grilled Chicken;11.8 oz (335 g);290;80;2.5;0.0;70;680;28;7;10;27
Snacks & Sides;Chipotle BBQ Snack Wrap (Crispy Chicken);4.6 oz (130 g);340;130;4.5;0.0;30;780;37;1;8;14
Snacks & Sides;Chipotle BBQ Snack Wrap (Grilled Chicken);4.3 oz (123 g);260;70;3.5;0.0;40;700;30;1;7;16
Snacks & Sides;Honey Mustard Snack Wrap (Crispy Chicken);4.3 oz (123 g);330;130;4.5;0.0;35;730;34;1;3;14
Snacks & Sides;Honey Mustard Snack Wrap (Grilled Chicken);4.1 oz (116 g);250;70;3.5;0.0;45;650;27;1;2;16
Snacks & Sides;Ranch Snack Wrap (Crispy Chicken);4.5 oz (128 g);360;180;5.0;0.0;40;810;32;1;3;15
Snacks & Sides;Ranch Snack Wrap (Grilled Chicken);4.3 oz (121 g);280;120;4.5;0.0;45;720;25;1;2;16
Snacks & Sides;Small French Fries;2.6 oz (75 g);230;100;1.5;0.0;0;130;30;2;0;2
Snacks & Sides;Medium French Fries;3.9 oz (111 g);340;140;2.5;0.0;0;190;44;4;0;4
Snacks & Sides;Large French Fries;5.9 oz (168 g);510;220;3.5;0.0;0;290;67;5;0;6
Snacks & Sides;Kids French Fries;1.3 oz (38 g);110;50;1.0;0.0;0;65;15;1;0;1
Snacks & Sides;Side Salad;3.1 oz (87 g);20;0;0.0;0.0;0;10;4;1;2;1
Snacks & Sides;Apple Slices;1.2 oz (34 g);15;0;0.0;0.0;0;0;4;0;3;0
Snacks & Sides;Fruit 'n Yogurt Parfait;5.2 oz (149 g);150;20;1.0;0.0;5;70;30;1;23;4
Desserts;Baked Apple Pie;2.7 oz (77 g);250;110;7.0;0.0;0;170;32;4;13;2
Desserts;Chocolate Chip Cookie;1 cookie (33 g);160;70;3.5;0.0;10;90;21;1;15;2
Desserts;Oatmeal Raisin Cookie;1 cookie (33 g);150;50;2.5;0.0;10;135;22;1;13;2
Desserts;Kids Ice Cream Cone;1 oz (29 g);45;10;1.0;0.0;5;20;7;0;6;1
Desserts;Hot Fudge Sundae;6.3 oz (179 g);330;80;7.0;0.0;25;170;53;1;48;8
Desserts;Hot Caramel Sundae;6.4 oz (182 g);340;70;5.0;0.0;30;150;60;0;43;7
Desserts;Strawberry Sundae;6.3 oz (178 g);280;60;4.0;0.0;25;85;49;0;45;6
Beverages;Coca-Cola Classic (Small);16 fl oz cup;140;0;0.0;0.0;0;0;39;0;39;0
Beverages;Coca-Cola Classic (Medium);21 fl oz cup;200;0;0.0;0.0;0;5;55;0;55;0
Beverages;Coca-Cola Classic (Large);30 fl oz cup;280;0;0.0;0.0;0;5;76;0;76;0
Beverages;Coca-Cola Classic (Child);12 fl oz cup;100;0;0.0;0.0;0;0;28;0;28;0
Beverages;Diet Coke (Small);16 fl oz cup;0;0;0.0;0.0;0;10;0;0;0;0
Beverages;Diet Coke (Medium);21 fl oz cup;0;0;0.0;0.0;0;20;0;0;0;0
Beverages;Diet Coke (Large);30 fl oz cup;0;0;0.0;0.0;0;35;0;0;0;0
Beverages;Diet Coke (Child);12 fl oz cup;0;0;0.0;0.0;0;15;0;0;0;0
Beverages;Dr Pepper (Small);16 fl oz cup;140;0;0.0;0.0;0;45;37;0;35;0
Beverages;Dr Pepper (Medium);21 fl oz cup;190;0;0.0;0.0;0;65;53;0;51;0
Beverages;Dr Pepper (Large);30 fl oz cup;270;0;0.0;0.0;0;90;72;0;70;0
Beverages;Dr Pepper (Child);12 fl oz cup;100;0;0.0;0.0;0;30;27;0;26;0
Beverages;Diet Dr Pepper (Small);16 fl oz cup;0;0;0.0;0.0;0;70;0;0;0;2
Beverages;Diet Dr Pepper (Medium);21 fl oz cup;0;0;0.0;0.0;0;100;0;0;0;3
Beverages;Diet Dr Pepper (Large);30 fl oz cup;0;0;0.0;0.0;0;140;0;0;0;4
Beverages;Diet Dr Pepper (Child);12 fl oz cup;0;0;0.0;0.0;0;50;0;0;0;1
Beverages;Sprite (Small);16 fl oz cup;140;0;0.0;0.0;0;30;37;0;37;0
Beverages;Sprite (Medium);21 fl oz cup;200;0;0.0;0.0;0;45;54;0;54;0
Beverages;Sprite (Large);30 fl oz cup;280;0;0.0;0.0;0;60;74;0;74;0
Beverages;Sprite (Child);12 fl oz cup;100;0;0.0;0.0;0;25;27;0;27;0
Beverages;1% Low Fat Milk Jug;1 carton (236 ml);100;20;1.5;0.0;10;125;12;0;12;8
Beverages;Fat Free Chocolate Milk Jug;1 carton (236 ml);130;0;0.0;0.0;5;135;23;1;22;9
Beverages;Minute Maid 100% Apple Juice Box;6 fl oz (177 ml);80;0;0.0;0.0;0;15;21;0;19;0
Beverages;Minute Maid Orange Juice (Small);12 fl oz cup;150;0;0.0;0.0;0;0;34;0;30;2
Beverages;Minute Maid Orange Juice (Medium);16 fl oz cup;190;0;0.0;0.0;0;0;44;0;39;3
Beverages;Minute Maid Orange Juice (Large);22 fl oz cup;280;0;0.0;0.0;0;5;65;0;58;4
Beverages;Dasani Water Bottle;16.9 fl oz;0;0;0.0;0.0;0;0;0;0;0;0
Coffee & Tea;Iced Tea (Small);16 fl oz cup;0;0;0.0;0.0;0;10;0;0;0;0
Coffee & Tea;Iced Tea (Medium);21 fl oz cup;0;0;0.0;0.0;0;10;0;0;0;0
Coffee & Tea;Iced Tea (Large);30 fl oz cup;0;0;0.0;0.0;0;15;0;0;0;0
Coffee & Tea;Iced Tea (Child);12 fl oz cup;0;0;0.0;0.0;0;5;0;0;0;0
Coffee & Tea;Sweet Tea (Small);16 fl oz cup;150;0;0.0;0.0;0;10;36;0;36;1
Coffee & Tea;Sweet Tea (Medium);21 fl oz cup;180;0;0.0;0.0;0;10;45;0;45;1
Coffee & Tea;Sweet Tea (Large);30 fl oz cup;220;0;0.0;0.0;0;10;54;0;54;1
Coffee & Tea;Sweet Tea (Child);12 fl oz cup;110;0;0.0;0.0;0;5;27;0;27;0
Coffee & Tea;Coffee (Small);12 fl oz cup;0;0;0.0;0.0;0;0;0;0;0;0
Coffee & Tea;Coffee (Medium);16 fl oz cup;0;0;0.0;0.0;0;0;0;0;0;0
Coffee & Tea;Coffee (Large);16 fl oz cup;0;0;0.0;0.0;0;0;0;0;0;0
Coffee & Tea;Latte (Small);12 fl oz cup;170;80;5.0;0.0;25;115;15;1;12;9
Coffee & Tea;Latte (Medium);16 fl oz cup;210;90;6.0;0.0;30;140;18;1;15;11
Coffee & Tea;Latte (Large);20 fl oz cup;280;120;8.0;0.0;40;180;24;1;20;15
Coffee & Tea;Caramel Latte (Small);12 fl oz cup;270;80;5.0;0.0;25;115;40;1;38;9
Coffee & Tea;Caramel Latte (Medium);16 fl oz cup;340;90;6.0;0.0;30;140;50;1;48;11
Coffee & Tea;Caramel Latte (Large);20 fl oz cup;430;120;8.0;0.0;40;180;62;1;59;15
Coffee & Tea;Hazelnut Latte (Small);12 fl oz cup;270;80;5.0;0.0;25;115;40;1;38;9
Coffee & Tea;Hazelnut Latte (Medium);16 fl oz cup;330;90;6.0;0.0;30;140;50;1;47;11
Coffee & Tea;Hazelnut Latte (Large);20 fl oz cup;430;120;8.0;0.0;40;180;62;1;58;15
Coffee & Tea;French Vanilla Latte (Small);12 fl oz cup;260;80;5.0;0.0;25;115;38;1;36;9
Coffee & Tea;French Vanilla Latte (Medium);16 fl oz cup;330;90;6.0;0.0;30;140;48;1;45;11
Coffee & Tea;French Vanilla Latte (Large);20 fl oz cup;420;120;8.0;0.0;40;190;60;1;56;15
Coffee & Tea;Latte with Sugar Free French Vanilla Syrup (Small);12 fl oz cup;210;80;5.0;0.0;25;150;24;1;12;9
Coffee & Tea;Latte with Sugar Free French Vanilla Syrup (Medium);16 fl oz cup;260;90;6.0;0.0;30;190;29;1;15;12
Coffee & Tea;Latte with Sugar Free French Vanilla Syrup (Large);20 fl oz cup;330;120;8.0;0.0;40;240;37;2;20;15
Coffee & Tea;Nonfat Latte (Small);12 fl oz cup;100;0;0.0;0.0;5;110;15;1;13;10
Coffee & Tea;Nonfat Latte (Medium);16 fl oz cup;130;0;0.0;0.0;5;135;19;1;16;12
Coffee & Tea;Nonfat Latte (Large);20 fl oz cup;170;0;0.0;0.0;10;180;25;1;21;16
Coffee & Tea;Nonfat Caramel Latte (Small);12 fl oz cup;200;0;0.0;0.0;5;110;41;1;39;10
Coffee & Tea;Nonfat Caramel Latte (Medium);16 fl oz cup;250;0;0.0;0.0;5;135;51;1;48;12
Coffee & Tea;Nonfat Caramel Latte (Large);20 fl oz cup;310;0;0.0;0.0;10;180;63;1;59;16
Coffee & Tea;Nonfat Hazelnut Latte (Small);12 fl oz cup;200;0;0.0;0.0;5;110;40;1;38;10
Coffee & Tea;Nonfat Hazelnut Latte (Medium);16 fl oz cup;250;0;0.0;0.0;5;135;51;1;48;12
Coffee & Tea;Nonfat Hazelnut Latte (Large);20 fl oz cup;310;0;0.0;0.0;10;180;63;1;59;16
Coffee & Tea;Nonfat French Vanilla Latte (Small);12 fl oz cup;190;0;0.0;0.0;5;115;39;1;37;10
Coffee & Tea;Nonfat French Vanilla Latte (Medium);16 fl oz cup;240;0;0.0;0.0;5;140;49;1;46;12
Coffee & Tea;Nonfat French Vanilla Latte (Large);20 fl oz cup;300;0;0.0;0.0;10;180;60;1;56;16
Coffee & Tea;Nonfat Latte with Sugar Free French Vanilla Syrup (Small);12 fl oz cup;140;0;0.0;0.0;5;150;24;1;13;10
Coffee & Tea;Nonfat Latte with Sugar Free French Vanilla Syrup (Medium);16 fl oz cup;170;0;0.0;0.0;5;180;30;1;16;12
Coffee & Tea;Nonfat Latte with Sugar Free French Vanilla Syrup (Large);20 fl oz cup;220;0;0.0;0.0;10;240;38;2;21;16
Coffee & Tea;Mocha (Small);12 fl oz cup;340;100;7.0;0.0;35;150;49;2;42;10
Coffee & Tea;Mocha (Medium);16 fl oz cup;410;120;8.0;0.0;40;190;60;2;53;13
Coffee & Tea;Mocha (Large);20 fl oz cup;500;150;10.0;0.5;50;240;72;2;63;16
Coffee & Tea;Mocha with Nonfat Milk (Small);12 fl oz cup;270;30;2.0;0.0;15;150;49;2;43;11
Coffee & Tea;Mocha with Nonfat Milk (Medium);16 fl oz cup;330;30;2.0;0.0;15;190;60;2;53;13
Coffee & Tea;Mocha with Nonfat Milk (Large);20 fl oz cup;390;35;2.5;0.0;20;240;73;2;64;17
Coffee & Tea;Caramel Mocha (Small);12 fl oz cup;320;100;7.0;0.0;35;170;45;1;40;10
Coffee & Tea;Caramel Mocha (Medium);16 fl oz cup;390;120;8.0;0.5;40;220;55;1;50;12
Coffee & Tea;Caramel Mocha (Large);20 fl oz cup;480;150;10.0;0.5;50;270;66;1;60;16
Coffee & Tea;Nonfat Caramel Mocha (Small);12 fl oz cup;250;30;2.0;0.0;15;170;45;1;41;10
Coffee & Tea;Nonfat Caramel Mocha (Medium);16 fl oz cup;310;30;2.0;0.0;15;210;56;1;51;13
Coffee & Tea;Nonfat Caramel Mocha (Large);20 fl oz cup;370;35;2.5;0.0;20;270;67;1;61;17
Coffee & Tea;Hot Chocolate (Small);12 fl oz cup;360;120;8.0;0.0;40;180;50;1;45;11
Coffee & Tea;Hot Chocolate (Medium);16 fl oz cup;440;140;9.0;0.5;50;220;61;1;56;14
Coffee & Tea;Hot Chocolate (Large);20 fl oz cup;540;180;12.0;0.5;60;280;73;1;68;17
Coffee & Tea;Hot Chocolate with Nonfat Milk (Small);12 fl oz cup;280;30;2.0;0.0;15;180;50;1;46;12
Coffee & Tea;Hot Chocolate with Nonfat Milk (Medium);16 fl oz cup;340;30;2.0;0.0;15;220;61;1;57;14
Coffee & Tea;Hot Chocolate with Nonfat Milk (Large);20 fl oz cup;400;35;2.5;0.0;20;280;74;1;69;19
Coffee & Tea;Regular Iced Coffee (Small);16 fl oz cup;140;40;3.0;0.0;15;35;23;0;22;1
Coffee & Tea;Regular Iced Coffee (Medium);22 fl oz cup;190;60;4.5;0.0;25;50;31;0;30;1
Coffee & Tea;Regular Iced Coffee (Large);32 fl oz cup;270;80;6.0;0.0;35;75;47;0;45;2
Coffee & Tea;Caramel Iced Coffee (Small);16 fl oz cup;130;40;3.0;0.0;15;35;22;0;21;1
Coffee & Tea;Caramel Iced Coffee (Medium);22 fl oz cup;180;60;4.5;0.0;25;50;29;0;28;1
Coffee & Tea;Caramel Iced Coffee (Large);32 fl oz cup;260;80;6.0;0.0;35;65;43;0;42;2
Coffee & Tea;Hazelnut Iced Coffee (Small);16 fl oz cup;130;40;3.0;0.0;15;35;21;0;20;1
Coffee & Tea;Hazelnut Iced Coffee (Medium);22 fl oz cup;180;60;4.5;0.0;25;50;29;0;28;1
Coffee & Tea;Hazelnut Iced Coffee (Large);32 fl oz cup;250;80;6.0;0.0;35;75;43;0;41;2
Coffee & Tea;French Vanilla Iced Coffee (Small);16 fl oz cup;120;40;3.0;0.0;15;40;20;0;19;1
Coffee & Tea;French Vanilla Iced Coffee (Medium);22 fl oz cup;170;60;4.5;0.0;25;55;27;0;26;1
Coffee & Tea;French Vanilla Iced Coffee (Large);32 fl oz cup;240;80;6.0;0.0;35;80;41;0;39;2
Coffee & Tea;Iced Coffee with Sugar Free French Vanilla Syrup (Small);16 fl oz cup;80;40;3.0;0.0;15;65;9;0;1;1
Coffee & Tea;Iced Coffee with Sugar Free French Vanilla Syrup (Medium);22 fl oz cup;120;60;4.5;0.0;25;90;12;0;2;1
Coffee & Tea;Iced Coffee with Sugar Free French Vanilla Syrup (Large);32 fl oz cup;160;80;6.0;0.0;35;135;18;0;2;2
Coffee & Tea;Iced Mocha (Small);12 fl oz cup;290;100;7.0;0.0;35;125;41;1;34;8
Coffee & Tea;Iced Mocha (Medium);16 fl oz cup;350;110;8.0;0.0;40;150;50;1;43;9
Coffee & Tea;Iced Mocha (Large);22 fl oz cup;480;150;10.0;0.5;50;220;70;2;62;14
Coffee & Tea;Iced Mocha with Nonfat Milk (Small);12 fl oz cup;240;45;3.0;0.0;20;125;41;1;35;8
Coffee & Tea;Iced Mocha with Nonfat Milk (Medium);16 fl oz cup;290;45;3.5;0.0;20;150;50;1;43;10
Coffee & Tea;Iced Mocha with Nonfat Milk (Large);22 fl oz cup;390;50;3.5;0.0;25;220;71;2;62;14
Coffee & Tea;Iced Caramel Mocha (Small);12 fl oz cup;280;100;7.0;0.0;35;140;38;0;33;8
Coffee & Tea;Iced Caramel Mocha (Medium);16 fl oz cup;340;110;7.0;0.0;40;170;46;1;41;9
Coffee & Tea;Iced Caramel Mocha (Large);22 fl oz cup;460;150;10.0;0.5;50;250;65;1;59;13
Coffee & Tea;Iced Nonfat Caramel Mocha (Small);12 fl oz cup;230;45;3.0;0.0;20;140;38;0;33;8
Coffee & Tea;Iced Nonfat Caramel Mocha (Medium);16 fl oz cup;270;45;3.0;0.0;20;170;47;1;41;10
Coffee & Tea;Iced Nonfat Caramel Mocha (Large);22 fl oz cup;370;50;3.5;0.0;25;250;65;1;59;14
Coffee & Tea;Frappé Mocha (Small);12 fl oz cup;450;160;12.0;1.0;65;125;65;1;57;7
Coffee & Tea;Frappé Mocha (Medium);16 fl oz cup;550;200;14.0;1.0;75;160;80;1;71;9
Coffee & Tea;Frappé Mocha (Large);22 fl oz cup;670;240;17.0;1.0;90;190;98;1;88;11
Coffee & Tea;Frappé Caramel (Small);12 fl oz cup;450;170;12.0;1.0;65;125;64;0;57;7
Coffee & Tea;Frappé Caramel (Medium);16 fl oz cup;550;200;15.0;1.0;80;160;79;0;71;9
Coffee & Tea;Frappé Caramel (Large);22 fl oz cup;670;250;17.0;1.5;95;190;96;0;88;11
Coffee & Tea;Frappé Chocolate Chip (Small);12 fl oz cup;530;200;14.0;1.0;65;135;76;1;67;8
Coffee & Tea;Frappé Chocolate Chip (Medium);16 fl oz cup;630;240;17.0;1.0;80;160;91;1;81;9
Coffee & Tea;Frappé Chocolate Chip (Large);22 fl oz cup;760;280;20.0;1.5;95;200;111;1;99;12
Smoothies & Shakes;Blueberry Pomegranate Smoothie (Small);12 fl oz cup;220;5;0.0;0.0;5;40;50;3;44;2
Smoothies & Shakes;Blueberry Pomegranate Smoothie (Medium);16 fl oz cup;260;5;0.0;0.0;5;50;62;4;54;3
Smoothies & Shakes;Blueberry Pomegranate Smoothie (Large);22 fl oz cup;340;10;0.5;0.0;5;65;79;5;70;4
Smoothies & Shakes;Strawberry Banana Smoothie (Small);12 fl oz cup;210;5;0.0;0.0;5;50;47;3;44;3
Smoothies & Shakes;Strawberry Banana Smoothie (Medium);16 fl oz cup;250;5;0.0;0.0;5;60;58;3;54;4
Smoothies & Shakes;Strawberry Banana Smoothie (Large);22 fl oz cup;330;10;0.5;0.0;5;80;74;4;70;5
