City;E;N;Pop;Pop_Density;Area_Agri;Area_Live
Ammerswil;2658100;1246800;0.0017181599030976853;0.017667037827606372;0.36198453609143055;0.09317781690390194
Amriswil;2740000;1267700;0.03287825099888867;0.0567007804015209;0.7227678159271613;0.21061492708028406
Amsoldingen;2610900;1175100;0.0018918796716934346;0.013175388981534067;0.6579951744245277;0.07656577765035881
Andeer;2752300;1163200;0.0021560289088732726;0.0015274409551873237;0.3466647694910515;0.02350354011654446
Andelfingen;2693300;1272200;0.005347237260748613;0.02602318207125071;0.5023542083113984;0.16266554549167697
Andermatt;2688600;1165400;0.003410142854763134;0.0017966120097146635;0.44052231027481703;0.01587139818746698
Andwil (SG);2738500;1255500;0.004757065992094561;0.024728664323950437;0.7221419660281767;0.12279088545117328
Anières;2506300;1125700;0.005680398460795256;0.04814583003821392;0.6980083122131466;0.3202934886818107
Anniviers;2610600;1114200;0.006465707003762342;0.0008714446757234294;0.24830886234016436;0.01837751247288616
Anwil;2637900;1255700;0.0013159867401842382;0.010928115088438668;0.693390548975919;0.08350611281955861
Appenzell;2749000;1244100;0.013750038670496434;0.026719130408418022;0.7198905555332757;0.11877544889050244
Apples;2522500;1156200;0.0034743953719149866;0.008848185466811211;0.5011760390742559;0.0652048408063928
Aranno;2710900;1097200;0.0008947757944109828;0.011331967109751933;0.042854255111163406;0.08064070699018616
Arbaz;2595800;1124600;0.003098399160433776;0.005285047858813586;0.23899317178117097;0.05234314981027398
Arbedo-Castione;2723900;1119200;0.012034258490256225;0.01845437721067865;0.07394008784883976;0.10027406624423268
Arboldswil;2621000;1251800;0.0013802392573360907;0.013047152640350551;0.5685000894305609;0.06537490841287623
Arbon;2750000;1264300;0.03521037939921517;0.1924909414863554;0.34729059819003605;0.6295610602421995
Arch;2599300;1223900;0.003876568534828434;0.019930474114103102;0.561759020632456;0.16547095070865345
Ardon;2586000;1117800;0.007836427369668528;0.012606418761407967;0.22188770284466527;0.06824130625055858
Arisdorf;2624600;1262300;0.003933681883407859;0.012902981600849371;0.6175650269534243;0.09684157046385915
Aristau;2670000;1237700;0.0035386478890668395;0.013434281694987431;0.7498755777463887;0.09454427716126244
Arlesheim;2613700;1260400;0.021793501928765377;0.10315365699621995;0.10220277387015761;0.3905562873667895
Arnex-sur-Nyon;2504000;1136700;0.0005473362572194843;0.008800652904294973;0.826123415352399;0.08855044140279218
Arnex-sur-Orbe;2529700;1171700;0.0015039848459248435;0.0064740989278515276;0.8006107200053759;0.06468166799468866
Arni (AG);2674200;1241300;0.004445322297765202;0.043267738415326495;0.584291758523735;0.17235203126376716
Arni (BE);2617200;1198200;0.002213142257452697;0.006960106171977249;0.7527362294701708;0.05745067708449516
Arogno;2720100;1091000;0.0023606850746162103;0.009131309105461763;0.11119551460068937;0.06734206407870352
Arosa;2770800;1183200;0.007484228386762078;0.001585970021716803;0.5035901236165837;0.02179675779706217
Arth;2683500;1212100;0.028923151609763526;0.02257773692421641;0.44465881198419777;0.1001240778018343
Arzier-Le Muids;2505500;1146100;0.006679882060935184;0.004221747736474743;0.27577667403156564;0.03191347816845966
Ascona;2702900;1112400;0.013081336547545673;0.08668376431157467;0.07742393255428678;0.6264754519280324
Assens;2537500;1162700;0.0025582020717867197;0.01571391615665661;0.8684644805555085;0.09487811994901786
Astano;2706700;1096600;0.0007115371343853295;0.006125808795456898;0.09391108247655038;0.09103579812792913
Attalens;2554700;1151200;0.008476572818329578;0.028546454932500995;0.6505459398429001;0.13625073577406868
Attinghausen;2690900;1190700;0.0041645150005830325;0.002913231789537717;0.3749016332566987;0.017099612597359003
Attiswil;2613300;1233300;0.0036005206833612156;0.015438130840957501;0.5806304002844692;0.11274960466780598
Au (SG);2765800;1256100;0.018583255794030227;0.13108702110655993;0.4009999557645608;0.5361482198382913
Aubonne;2519600;1149800;0.009059604918411202;0.020722919971182314;0.6320629332630614;0.14473180544753508
Auboranges;2551500;1159200;0.0006710818458082372;0.011405360674140932;0.8832861492218546;0.0852368094558021
Auenstein;2652900;1252000;0.0038194551862490095;0.02205687212620528;0.32343329664717774;0.21427690483812856
Augst;2621000;1265000;0.002479671217490011;0.04929478754060558;0.38449790002394635;0.41888367240839264
Ausserberg;2631800;1129300;0.0015063645687823197;0.0032918515518351966;0.22481365056844899;0.030119465126158127
Auswil;2630100;1220500;0.001047078057289448;0.007434091897045735;0.9202387412516349;0.051859402026317364
Autigny;2568100;1176200;0.0018942593945509105;0.009989411585369087;0.7667110076395889;0.06965015901651177
Auw;2670200;1229300;0.0051021258064285835;0.019550966912363636;0.7246880086591676;0.09740548555232494
Avegno Gordevio;2700700;1120400;0.0035981409605037396;0.004320045496303414;0.1004720365554756;0.0380384873390461
Avenches;2569600;1192200;0.0102209096728595;0.017219258311857596;0.7013386675307549;0.18944133146985828
Avers;2759300;1148900;0.00040693260862839913;0.00014334097937639408;0.539464998565925;0.004860274670270909
Avry;2571900;1182000;0.004580966500641335;0.025773856337122536;0.792692698019613;0.16159478457615536
Avully;2489000;1114200;0.004074085531998943;0.02892537574719641;0.6956213280460772;0.15035589879698136
Avusy;2489600;1111300;0.0033339917233239018;0.02115265161119297;0.7524776166804737;0.2227368076989183
Ayent;2597600;1125000;0.00974258537850682;0.00579559862842976;0.2081492391082429;0.0478391980412802
Baar;2682600;1227800;0.05858163758248714;0.07732607333842738;0.5726414976286014;0.2266371746680368
Bachenbülach;2683600;1262000;0.009947241544249757;0.07570354834164035;0.37190301105868623;0.24685642996857785
Bachs;2675400;1264300;0.0014087959316258028;0.0050613707807927325;0.5344877928255956;0.06160054006066255
Bad Ragaz;2756900;1207900;0.014906583979229778;0.01925020047978391;0.47656189829632734;0.11886814398205423
Bad Zurzach;2664500;1271000;0.01038749027288282;0.052258131420366165;0.2769497127594297;0.2856897107710255
Baden;2665400;1258400;0.04651644269508373;0.11585414124894426;0.09444830901017191;0.34610086601630413
Baldingen;2666000;1267500;0.0006330062800886209;0.007362914420917551;0.6261143926979658;0.11708686285947134
Balerna;2721800;1078700;0.00778169374394658;0.10088914836501278;0.10798255980164082;0.8534209208129788
Balgach;2763800;1253000;0.011639224495915207;0.05855544576598713;0.5919934922084616;0.24963132365315915
Ballaigues;2521700;1175900;0.0026367329260834284;0.009546161710878097;0.4347116800808589;0.10168704535060852
Ballens;2518400;1156500;0.001289809788752002;0.005006794909158818;0.6977702048502541;0.05868265478833094
Ballwil;2666900;1222800;0.00644904894376001;0.024120534202546864;0.8155287187397656;0.13630583504308424
Balm bei Günsberg;2609100;1233600;0.0004973620772124878;0.002982470689081961;0.3536063627510171;0.031954064420573414
Balsthal;2619300;1240600;0.014847090907792878;0.030999595358437982;0.3211615645316576;0.14781564705888522
Baltschieder;2632800;1128700;0.0031674111233005804;0.0033150973613171575;0.09560111124525199;0.011489755903265219
Bannwil;2622500;1231800;0.0015729968087916481;0.010794208117112576;0.5105817223219113;0.09129619152356991
Bardonnex;2497000;1111800;0.005418628946472894;0.03554759722339264;0.8010843225414702;0.2396330172500747
Bargen (BE);2586600;1209700;0.0024392159289129186;0.010179314764814092;0.7716219406500195;0.0732537719994251
Bargen (SH);2687900;1294100;0.0007424735315325178;0.0029448712281889833;0.3025966416982086;0.04724355808844736
Bas-Intyamon;2572800;1157300;0.0036861907062303526;0.0036266283041743357;0.5332494374441217;0.0281309020663866
Basadingen-Schlattingen;2698300;1280600;0.004352513106323638;0.009134230190624903;0.6495175152758643;0.08485847909029903
Basel;2611300;1267600;0.4122441500462856;0.566965927790422;0.04208291438763917;0.8895878410407073
Basse-Allaine;2569300;1258900;0.0029460968975553105;0.004194260441395967;0.48129986553355797;0.07599510104485058
Bassersdorf;2689800;1255500;0.028137843066796443;0.10221011932435406;0.41085742467202124;0.31565589306760206
Bassins;2507400;1146600;0.0032982958804617614;0.005208875270854699;0.38837054074156796;0.035011990404739755
Baulmes;2530100;1182500;0.002479671217490011;0.003614951086311076;0.4381809525510478;0.04154679409237942
Bauma;2708700;1247300;0.011596389484480638;0.012881018048776529;0.4017858702532401;0.08083199297202226
Bavois;2533300;1170700;0.0022631164374596934;0.007939371615241745;0.8166500388655666;0.07960018173903155
Beatenberg;2627300;1172000;0.002846148537541318;0.0032004568403282006;0.36001977123365;0.04366197183764729
Beckenried;2678800;1202200;0.00879783540408884;0.01190021840040955;0.5326587913471998;0.061851123222781926
Bedano;2714500;1101000;0.0036766718148004483;0.06449174107155786;0.16189385256689223;0.3046426708518144
Bedigliora;2708700;1095500;0.0014540106659178473;0.01855774963901587;0.11708394693691755;0.1672814665833498
Bedretto;2682300;1151100;0.00025225062289245797;0.00011004314774220076;0.2684386438313841;0.010250256022386979
Beggingen;2682400;1291300;0.0011018116830113964;0.002872880584772431;0.5524435599951121;0.04636521661856471
Begnins;2508700;1144000;0.004595244837786191;0.031467626357497676;0.7490120275463673;0.14351525818553068
Beinwil (Freiamt);2668700;1231500;0.0027985540803917974;0.008116371945784441;0.822960417533764;0.06709392155334477
Beinwil (SO);2611200;1245700;0.000654423785805905;0.0009473053994756625;0.4765268459540584;0.01949350423981743
Beinwil am See;2657800;1235300;0.007998248523976898;0.06849943083176242;0.5263669239944668;0.328368114404562
Belfaux;2574700;1185600;0.00780549097252134;0.0288322212781944;0.6230460388917043;0.11885679957642012
Bellach;2604000;1229000;0.012574455578903281;0.07796943036371126;0.5135260832292007;0.3382134914625719
Bellevue;2501000;1123500;0.008043463258268942;0.0605128260141057;0.4391093536603491;0.44131455401040137
Bellikon;2668400;1249100;0.0036885704290878286;0.0244918715844752;0.6668209551670142;0.10491520549435687
Bellinzona;2722400;1116800;0.1029920255487046;0.020571615292325294;0.129064198508348;0.0971838711035866
Bellmund;2585300;1217200;0.004002693846274663;0.03464208363916249;0.5664165811872104;0.15341788955480978
Bellwald;2655500;1141600;0.0008923960715535069;0.002096829286557866;0.4044159429089753;0.05225483178844062
Belmont-Broye;2567600;1190700;0.013228879364709185;0.016825289919810006;0.7203398628693692;0.10313546652247828
Belmont-sur-Lausanne;2541700;1152400;0.008981074064114494;0.11116632434580327;0.3893826283044796;0.34666234962899517
Belmont-sur-Yverdon;2537800;1177500;0.0008900163486960309;0.004519145337159929;0.8271530531276823;0.06010834236189022
Belp;2604700;1193300;0.027538152906712483;0.03883434092662014;0.6275297552938771;0.14650305266870922
Belprahon;2597500;1237200;0.0006924993515255213;0.005946300468746042;0.4376855400232005;0.07536317380990408
Benken (SG);2718700;1228700;0.007096333560993487;0.014107203112037425;0.7835927866338208;0.10737405616625369
Benken (ZH);2691300;1278800;0.0020108658145672354;0.011653530096605804;0.6283023327969889;0.08341406464166883
Bennwil;2625800;1250300;0.0015872751459365042;0.00797314894368457;0.5828178693938018;0.05608194622896557
Bercher;2544300;1171400;0.0030484249804267794;0.023417389475225717;0.6211340206174302;0.1673199575298297
Berg (SG);2748300;1261300;0.0020251441517120917;0.01766684258902452;0.7603229150167503;0.12784112076257603
Berg (TG);2730000;1271200;0.008207664135434787;0.02048873066778778;0.7638714115591061;0.12628004568225257
Berg am Irchel;2687200;1269400;0.0013731000887636626;0.00642502792558821;0.5254065786377421;0.05118906897728534
Bergdietikon;2671600;1249000;0.006736995409514608;0.037202373515408345;0.591473580348655;0.17814809647096452
Bergün Filisur;2776700;1166700;0.0021369911260134644;0.0003686549515774206;0.2166379244424735;0.010053592500691575
Berikon;2670800;1244800;0.011317961910155943;0.06900440170113097;0.49671977503290854;0.2269983537863563
Beringen;2685300;1283700;0.01172013507306939;0.02058005766713253;0.32285453686572013;0.11356719407768702
Berken;2620500;1230500;9.756863715651675e-05;0.0023024291811970985;0.5776141384843947;0.11750503019891914
Berlingen;2718700;1281300;0.002117953343153656;0.019405471728768782;0.2938577492650027;0.1440012624714592
Bern;2600100;1199700;0.32028927911055477;0.2035238193403792;0.20750394017626814;0.4629848457335165
Berneck;2764000;1255000;0.009366589167025608;0.054668354078478636;0.5034609720145187;0.23868209251765485
Bernex;2494600;1114700;0.024377880951984333;0.06174716544950648;0.6445484822448136;0.21800036926217184
Berolle;2515500;1156900;0.0007139168572428055;0.0024367730983739884;0.3926304182550754;0.026691822797052317
Beromünster;2657000;1228600;0.015763284207921145;0.012272868732919386;0.7533936541464757;0.09262783910909848
Besenbüren;2668500;1240600;0.0015016051230673675;0.020695199940817074;0.7378623667316585;0.12302877096244726
Bettenhausen;2620900;1224700;0.0015325415202145558;0.012758713043532616;0.7257627824365137;0.1012590695769351
Bettens;2534000;1164400;0.0015468198573594118;0.013566223845861198;0.7963369160588785;0.12578663467238022
Bettingen;2617100;1268900;0.0027676176832446093;0.04070915390266337;0.3775070291124332;0.20096030735044823
Bettlach;2598900;1228000;0.011829602324513288;0.03183151301300508;0.5078123677424614;0.1384398343783526
Bettmeralp;2648600;1136300;0.0010708752858642082;0.0012200793403636116;0.18788740358196837;0.014999339560260545
Bettwiesen;2719600;1261900;0.0029175402232655984;0.024856899993835453;0.684397916911779;0.1457456076503791
Bettwil;2662700;1238100;0.0015135037373547476;0.011681144865805347;0.750650351744346;0.0984928261147484
Beurnevésin;2577300;1260300;0.0002784275743246941;0.00179425970406043;0.6085304224954687;0.052416459546191424
Bever;2787900;1158700;0.0014444917744879432;0.0010356543102672312;0.16705275662268998;0.012384865483430017
Bex;2567300;1122200;0.01874983639405355;0.006368631102917689;0.29222317888764265;0.04766839680536014
Biasca;2717900;1135500;0.014497271647743904;0.008059815632738263;0.11422114559870239;0.05660764520052893
Biberist;2609100;1225700;0.020860650568634776;0.05585764248432007;0.40406949655226565;0.27457266199185476
Biberstein;2648500;1251600;0.0038027971262466773;0.030423567792810954;0.33849635408672574;0.13792511168678953
Bichelsee-Balterswil;2713100;1256900;0.006848842383815981;0.01832388442448588;0.5490966622300807;0.10179891228821715
Biel-Benken;2606700;1261800;0.00827191665258664;0.06585667137298433;0.5941347212765559;0.25953780942243837
Biel/Bienne;2585500;1221200;0.13231735032138156;0.20482203702741075;0.08608247423367626;0.46801089552801717
Biezwil;2598400;1218100;0.000778169374394658;0.006150591452303455;0.5661408521294715;0.06937043950833525
Biglen;2614400;1197300;0.0043191969863189735;0.03946384576983819;0.8027990554734713;0.2182705169692213
Billens-Hennens;2558700;1171200;0.0018704621659761504;0.012546740371744781;0.8764569745350876;0.06714573153489545
Binn;2657300;1135000;0.00031888286290178647;0.00016069699341623062;0.24427715474418832;0.0044229117237803315
Binningen;2610000;1265200;0.03758296308811876;0.27640570401209963;0.229289396207735;0.7344064386661321
Bioggio;2713800;1096800;0.006325303355171257;0.03236787375331888;0.18975465521500426;0.27417840379747804
Bioley-Magnoux;2544400;1175300;0.0005449565343620082;0.004166730528229505;0.7251417226447457;0.06918074572847104
Bioley-Orjulaz;2535700;1163600;0.0012374558858875295;0.013009660822171776;0.770960531138663;0.10980445781279759
Birmensdorf (ZH);2675500;1245400;0.016001256493668747;0.04595987356470586;0.4028562659027511;0.2529907994870519
Birmenstorf (AG);2661000;1257100;0.0071106118981383425;0.029902205024012637;0.4830215751232913;0.15767024833520527
Birr;2657500;1254300;0.010903890132955117;0.07082407826973305;0.38517913645282914;0.30743271512090314
Birrhard;2660800;1254400;0.001801450203109346;0.019696626478226807;0.5755326460987761;0.12680751170621035
Birrwil;2657300;1238000;0.002734301563239945;0.026301642722222005;0.6366651726363711;0.13708920184733056
Birsfelden;2613900;1266900;0.024825268849189824;0.3231351944765722;0.0;0.8169559995739749
Birwinken;2732300;1271600;0.0031888286290178646;0.008510795197205198;0.8325120667154436;0.08218643017050921
Bischofszell;2736000;1261800;0.014235502133421542;0.040323207785261626;0.5798058907586756;0.19128725841075275
Bissone;2718400;1090200;0.002172686968875605;0.03831554944963257;0.0;0.21005603517322685
Bister;2648200;1134500;7.85308542967086e-05;0.0004433584926175189;0.17333807328470116;0.012408936380050379
Bitsch;2643900;1132100;0.0023844823031909704;0.013508476828812373;0.14918546142430977;0.0842186223177467
Bière;2515200;1154600;0.003790898511959297;0.0049619448570029055;0.41868932537324594;0.06942092025242112
Blatten;2629300;1141100;0.0006948790743829974;0.0002518277069534705;0.08822893111249228;0.004315266458425338
Blauen;2606100;1255500;0.001663426277375737;0.0076632749263205804;0.3729952161535587;0.05510637875288313
Bleienbach;2624100;1226000;0.0016967423973804012;0.009781252895999284;0.6225204094793201;0.08522741387256243
Blenio;2715200;1154200;0.004212109457732553;0.0006839732569790303;0.27134457121496114;0.013171873897817276
Blonay;2558200;1146000;0.014635295573477513;0.02987283660457326;0.3644878399595337;0.18554387935989486
Blumenstein;2606300;1176600;0.002969894126130071;0.00627682604459202;0.5273561689944913;0.04046342571699832
Bodio;2713400;1137300;0.0023035717260367857;0.011660510804796773;0.03399015568558326;0.1423126628685971
Bofflens;2528100;1172900;0.00046166623435034757;0.003596970355253804;0.7783134317182263;0.05917519506242863
Bogis-Bossey;2502100;1134400;0.0020061063688522835;0.02685831201402487;0.6295872045846496;0.13962789076852525
Bois-d'Amont;2577600;1178200;0.00540911005504299;0.014448351326248459;0.6808675641817946;0.09920191632378146
Bolken;2617000;1226700;0.001415935100198231;0.021907777892798793;0.7080005807742187;0.12067711431308854
Bolligen;2604300;1202600;0.014958937882094252;0.02961209218446453;0.475581489325169;0.12766896743299397
Boltigen;2596500;1164200;0.002979413017559975;0.0012680494622662511;0.5785741417998823;0.024810513311368167
Bonaduz;2749600;1186400;0.008250499146869355;0.01879353919313758;0.26544429780450585;0.0804035284376446
Boncourt;2568200;1260700;0.0028961227175483143;0.010543456529362442;0.45189384416994377;0.20631772902664794
Bonfol;2578500;1258500;0.001551579303074364;0.0037477019973205104;0.514676140173559;0.07101240802725245
Boningen;2631600;1239800;0.001830006877399058;0.02174875906530664;0.40979381444312896;0.25704225352800536
Boniswil;2656500;1240800;0.0035219898290645073;0.04793601164917086;0.6363043194590426;0.21691329408045262
Bonstetten;2677800;1241000;0.013259815761856374;0.05853822079292677;0.6066123489985141;0.15892397398312613
Bonvillars;2541400;1187800;0.001166064200163249;0.005086223778013214;0.5296133676357843;0.0672633934489831
Boppelsen;2672600;1258200;0.003407763131905658;0.02822702165574454;0.4382228269221829;0.12786873522314016
Borex;2502900;1137200;0.0026843273832329487;0.04424592182610652;0.847464759140556;0.215076171350826
Bosco/Gurin;2681100;1130000;0.0001166064200163249;0.0001737773867209036;0.2664962498911298;0.006536951039189017
Bossonnens;2554700;1152400;0.0035981409605037396;0.028646515283328802;0.7809404073162295;0.12538646512307372
Boswil;2666100;1239200;0.0068369437695286;0.019037396709232;0.7192299600363521;0.11365813932839366
Bottens;2540300;1163300;0.0030888802690038717;0.014726633497682972;0.7825841528131773;0.07852011202801674
Bottenwil;2642900;1237300;0.0019132971774107187;0.0123056085851447;0.5323262223575009;0.09161902105836726
Botterens;2575000;1163400;0.0014659092802052273;0.011260821169822154;0.3737113402422362;0.08729736912543473
Bottighofen;2732800;1278000;0.005475742295052318;0.07452754243522519;0.35077001398599844;0.31310496729006904
Bottmingen;2610100;1263600;0.01614166014225983;0.17707932309562846;0.28969764059067293;0.5520370545795615
Boudry;2554300;1200000;0.014842331462077927;0.029048181814322914;0.251027237148479;0.12146626775536318
Bougy-Villars;2516800;1148100;0.0011256089115861568;0.020859557855051617;0.4174678559010508;0.40433612917983436
Boulens;2545000;1170300;0.0008685988429787466;0.00833074771788602;0.6742026888393617;0.05110781649179021
Bourg-Saint-Pierre;2582100;1088700;0.00047594457149520365;0.00017382911682706586;0.2981092960527367;0.007899305416690263
Bourg-en-Lavaux;2544500;1149500;0.012714859227494366;0.04321903695039721;0.6863764165283227;0.25066930510107427
Bournens;2532900;1161800;0.0009994836001399278;0.00838474303496702;0.8174807197769274;0.07665013216289626
Bourrignon;2585400;1249600;0.0006211076658012408;0.0015035519441715449;0.7139841970671502;0.025077293024614745
Boussens;2534400;1161700;0.0023583053517587343;0.024479570640540366;0.8487972508271868;0.0937638409060303
Bovernier;2572800;1103200;0.0021774464145905567;0.005464654774295293;0.06585041716719629;0.04078168477320402
Bowil;2619600;1193500;0.003245941977597289;0.007247860050649035;0.6006592327303256;0.05315703746212674
Boécourt;2583100;1244300;0.002201243643165317;0.005846446765452238;0.5410697549680266;0.08846259374771942
Braunau;2723100;1262600;0.001939474128842955;0.006937539956994089;0.757551883998125;0.05275539701422867
Bregaglia;2765600;1134700;0.0037004690433752084;0.00048272076135465934;0.1540809525295855;0.00891747941474568
Breggia;2722900;1080100;0.0046071434520735715;0.005926283140595963;0.14567598719741878;0.04180202403351301
Breil/Brigels;2722900;1179700;0.004112161097718559;0.0013966055437050816;0.4004308164119695;0.023740079744297267
Breitenbach;2607900;1250700;0.009314235264161136;0.04492924627792654;0.5016579249093194;0.19691541056019912
Bremblens;2529400;1155400;0.0013731000887636626;0.01547747276560336;0.7359562382326422;0.125898246634355
Bremgarten (AG);2668400;1244800;0.019539904382735587;0.0564202420738916;0.24348491894004498;0.23726977251902553
Bremgarten bei Bern;2600000;1203100;0.010397009164312724;0.17949223615420035;0.3545733713551647;0.47033263410413567
Brenzikofen;2613400;1185100;0.001170823645878201;0.01753630992301747;0.5910965323383364;0.08879641485139034
Bretigny-sur-Morrens;2538900;1161100;0.0020560805488592797;0.023498983169333628;0.7118484100609117;0.1122297163522991
Bretonnières;2526100;1174000;0.000642525171518525;0.00386709183965908;0.4841445909212572;0.09296284033488211
Bretzwil;2616100;1249700;0.0017919313116794419;0.008018778663772628;0.6159863661121482;0.048761403113699246
Brienz (BE);2645300;1178500;0.007417596146752749;0.0050688890968249;0.4212976956764033;0.046608618236036
Brienzwiler;2650600;1178100;0.0011256089115861568;0.002093050873593286;0.33657484017946165;0.030326028774191823
Brig-Glis;2642400;1129600;0.031124395252928844;0.027101675688598444;0.13195766848780102;0.12006219912152279
Brione sopra Minusio;2706300;1115600;0.0011422669715884888;0.009808330673234975;0.05478334194692248;0.08681110409584425
Brislach;2607900;1251900;0.003940821051980286;0.013722291918357745;0.5818114092288283;0.08850339016786136
Brissago;2698300;1108300;0.004033630243421851;0.007433047782778884;0.06146138949409802;0.0780668261570187
Brittnau;2638500;1234300;0.009392766118457845;0.022538023958840112;0.5780144254101777;0.1220244544412936
Broc;2574000;1161400;0.0062515319465895;0.020444493899889473;0.4562316820607728;0.09300534819375647
Brot-Plamboz;2546700;1202400;0.0006758412915231892;0.0013777788711617119;0.7391165662718957;0.02735845767636593
Brugg;2657900;1259400;0.02992501493276093;0.11883521895383271;0.1316126119331533;0.5115828793094649
Brunegg;2658700;1252300;0.00207987777743404;0.04401462021467774;0.470403495652876;0.3132170506675368
Brusino Arsizio;2716400;1087400;0.0010922927915814923;0.008633399008338812;0.03137177526696178;0.09346991037475483
