id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
1051223;Centrally located room in Zurich;2236641;Mikko;Kreis 3;Sihlfeld;47.37744;8.50882;Private room;45;1;162;2021-02-23;2.73;2;32
1091173;Sunny 130m2 flat in trendy Zurich;3488923;Kaspar;Kreis 5;Escher Wyss;47.389;8.52345;Entire home/apt;249;4;4;2018-01-01;0.06;1;177
1137339;Zurich - easy, central, convenient;6238643;Bernadette;Kreis 10;Höngg;47.40239;8.49519;Private room;54;4;27;2020-08-15;0.32;2;259
1173334;Luxury Loft/Penthouse in Zürich;1938261;Andreas;Kreis 3;Alt-Wiedikon;47.36202;8.52058;Entire home/apt;219;5;18;2019-01-28;0.21;1;365
1179802;Zurich-heart of the city, 2,5 rooms;3072454;Christine;Kreis 4;Langstrasse;47.37929;8.5352;Entire home/apt;105;3;205;2020-03-02;2.19;1;302
1283510;Sonnige zweigeschossige Wohnung in Zürich-West;6165726;Beat;Kreis 5;Escher Wyss;47.39396;8.50829;Entire home/apt;123;7;2;2017-08-08;0.04;1;118
1296814;Lovely Zurich Flat near the lake!;5777725;Carla;Kreis 8;Mühlebach;47.35725;8.55699;Entire home/apt;126;3;6;2019-07-05;0.06;1;364
1410342;Apartement in trendy Zurich Seefeld;480998;Pius;Kreis 8;Weinegg;47.34949;8.56516;Entire home/apt;140;5;33;2020-12-02;0.38;4;301
1435243;Grosse charmante Wohnung nähe Oper;7712882;Daniel;Kreis 8;Seefeld;47.36393;8.54887;Entire home/apt;379;2;76;2020-09-29;1.1;3;318
1446015;Lovely Appartment in Zürich;5181732;Roni;Kreis 7;Hirslanden;47.36508;8.57226;Entire home/apt;77;10;4;2018-11-06;0.04;1;116
1466830;Lovely, central, large, sunny! :-);468270;Matt;Kreis 10;Wipkingen;47.39448;8.52941;Entire home/apt;89;3;30;2015-04-13;0.33;1;56
1473567;Subletting apartment or room;7888485;Heiko;Kreis 3;Friesenberg;47.3661;8.50282;Entire home/apt;110;1;27;2018-09-24;0.3;1;87
1478873;Room in Duplex Apartment;7698073;Christian;Kreis 2;Enge;47.36063;8.53471;Private room;170;1;74;2019-12-24;0.81;4;0
1509338;Private room, bright & quiet(1-3months possible);8061776;Salvia;Kreis 2;Wollishofen;47.33142;8.5374;Private room;65;2;53;2020-11-30;0.58;4;62
1528138;Modern Appartement with own Garden;8152499;Fredy;Kreis 6;Unterstrass;47.395;8.53442;Entire home/apt;120;3;72;2020-10-19;0.79;1;362
1599790;room in a penthouse in Zurich;8527761;Ben;Kreis 11;Oerlikon;47.40782;8.55461;Private room;95;1;6;2019-07-04;0.08;1;365
1608599;Bright room in the central trend quarter Wipkingen;7123447;Noah;Kreis 10;Wipkingen;47.39385;8.52441;Private room;75;1;1;2018-02-04;0.03;1;365
1637876;Spacious room near center and university;1275222;Yvonne;Kreis 6;Oberstrass;47.38302;8.54983;Private room;75;2;425;2020-11-29;4.7;1;298
1638930;Private room in center of Zurich;8699600;Ivo;Kreis 5;Gewerbeschule;47.38435;8.53154;Private room;80;1;233;2020-02-16;2.57;1;0
1639463;cosy flat near the lake;8705111;Kay;Kreis 3;Friesenberg;47.35572;8.52211;Entire home/apt;3000;21;33;2015-06-22;0.36;1;365
1657725;Zürich Wipkingen - 2 rooms apartment!;8787275;Gerret;Kreis 10;Wipkingen;47.39602;8.52092;Entire home/apt;100;2;5;2018-07-14;0.07;1;270
1730300;LOVELY HOME;1373632;Dani;Kreis 2;Enge;47.36538;8.52406;Private room;55;1;11;2019-04-19;0.39;1;362
1812239;Room close to opera & lake;9494584;Clara;Kreis 8;Mühlebach;47.36463;8.54884;Private room;89;1;67;2020-12-03;1.14;2;365
1859135;Wohnung in bester Lage Zürich;9700015;Esther;Kreis 7;Fluntern;47.37969;8.55919;Entire home/apt;105;20;0;;;1;88
1876794;Modern sunny Appartment lakeside;1599948;Boris;Kreis 7;Hottingen;47.36724;8.55179;Entire home/apt;100;1;10;2020-03-08;0.12;2;365
1880893;Exclusive sunny penthouse at lake;1599948;Boris;Kreis 7;Hottingen;47.3681;8.55116;Entire home/apt;100;1;10;2019-01-01;0.13;2;365
1888122;Cozy Studio in Zürich-City!;9758486;Sandy;Kreis 8;Mühlebach;47.36401;8.55047;Entire home/apt;61;5;0;;;1;67
1962016;A spacious space;9175734;Roland;Kreis 9;Albisrieden;47.38015;8.49808;Private room;110;2;104;2020-02-20;1.21;1;1
1982405;studio / home office  in a trendy quarter;5614354;Subas;Kreis 10;Wipkingen;47.39408;8.53195;Entire home/apt;70;14;42;2021-01-16;0.5;1;365
1992345;Furnished apartment near the lake;1509492;Villa;Kreis 2;Wollishofen;47.33682;8.53967;Entire home/apt;179;5;1;2014-01-03;0.01;1;181
2004128;Super central & cozy! (Families with baby welcome);8658139;Malin;Kreis 4;Werd;47.37015;8.52678;Entire home/apt;155;5;27;2018-08-20;0.31;1;0
2021797;Roomy well-lit Private room Heart of Zurich;10379615;Josh;Kreis 2;Enge;47.36288;8.52304;Private room;42;7;131;2020-10-18;1.49;2;180
2045519;Groundfloor Room i/Family Home Hottingen, Kreis 7;10487269;Christine;Kreis 7;Hottingen;47.36644;8.56301;Private room;49;1;78;2020-04-01;0.95;4;331
2047753;Nice apartment in Zurich-Affoltern;7777034;Frans;Kreis 11;Affoltern;47.42541;8.49986;Entire home/apt;140;4;60;2018-04-15;0.69;1;25
2049847;Balcony Room in FamilyHome Hottingen, Kreis 7;10487269;Christine;Kreis 7;Hottingen;47.36644;8.56301;Private room;49;2;89;2021-01-31;1.08;4;244
2055920;Modern 5.5 Meter Celings City Center Flat!;4387358;Mo & Angelika;Kreis 4;Langstrasse;47.38015;8.52768;Entire home/apt;417;21;12;2019-07-14;0.15;2;365
2073042;Bedroom i/Family Home ZüriHottingen;10487269;Christine;Kreis 7;Hottingen;47.36589;8.56362;Private room;49;1;40;2021-01-31;0.46;4;364
2082084;Basic Well-lit Private Room Heart of Zurich;10379615;Josh;Kreis 3;Alt-Wiedikon;47.36407;8.52113;Private room;41;1;114;2020-11-01;1.33;2;171
2154223;Privatroom in Zurich;10993446;Jasmin;Kreis 4;Langstrasse;47.37621;8.51871;Private room;55;2;38;2020-01-26;0.44;2;84
2268476;Central Studio+balcony, lake 10 min;11583529;Anna;Kreis 7;Hottingen;47.3673;8.55255;Entire home/apt;84;3;217;2021-01-03;2.59;1;0
2316858;@ Hardplatz ZH;11832367;Patrick;Kreis 4;Hard;47.38153;8.51815;Private room;66;2;29;2018-09-20;0.39;1;240
2470664;Old-town, cozy 2 rooms flat, fully furnished;10651736;Alberto;Kreis 1;Rathaus;47.37315;8.5458;Entire home/apt;55;13;29;2021-01-31;0.34;3;271
2568011;Central 2 room apt. (2-4 people);13148732;Anna;Kreis 10;Wipkingen;47.39324;8.52808;Entire home/apt;90;2;22;2020-01-18;0.26;1;58
2579889;Mi Casa es su Casa;75558392;Filipa;Kreis 3;Alt-Wiedikon;47.36347;8.51749;Entire home/apt;132;1;435;2021-02-21;5.21;4;112
2627618;Charmante Altbauwohnung Idaplatz;13458032;Lu;Kreis 3;Sihlfeld;47.37346;8.51491;Entire home/apt;120;8;10;2016-10-09;0.13;1;69
2648689;Schönes Appart. Balkon 3 für 2 :);13559803;Djoullel;Kreis 11;Oerlikon;47.40424;8.54829;Entire home/apt;70;20;84;2019-12-18;1.01;1;1
2668952;Living & homeoffice with spectacular views !;13570663;Chris;Kreis 1;Rathaus;47.37475;8.54413;Entire home/apt;95;4;337;2021-02-10;4.22;37;349
2679799;Discover Zürich & relax comfortably;8061776;Salvia;Kreis 2;Wollishofen;47.33763;8.53492;Private room;70;2;89;2020-08-14;1.07;4;93
2743999;Lakeside Duplex with Stunning Views;1514700;Amulya;Kreis 2;Wollishofen;47.3409;8.53246;Entire home/apt;200;1;13;2019-07-22;0.16;1;241
2759581;Old-town 2 room flat with river view;10651736;Alberto;Kreis 1;Rathaus;47.37396;8.54291;Entire home/apt;90;13;24;2021-01-10;0.3;3;332
2789296;Cozy and beautiful flat in old-town;10651736;Alberto;Kreis 1;Rathaus;47.37638;8.54463;Entire home/apt;80;20;20;2020-12-17;0.25;3;178
2836559;Apartment in best location!;7014021;Jonathan;Kreis 1;Lindenhof;47.37289;8.54145;Entire home/apt;149;2;59;2020-02-09;0.71;1;0
2852452;Centrally located 4-room apartment – a real gem!;9162952;Andreas;Kreis 6;Oberstrass;47.37738;8.54754;Entire home/apt;136;20;14;2021-01-31;0.17;1;78
2869056;Letzigrund Jade Apartment;12886487;Anna & Karina;Kreis 9;Altstetten;47.38644;8.50317;Entire home/apt;575;30;2;2019-07-31;0.08;80;302
2869081;Letzigrund Magenta Apartment;12886487;Anna & Karina;Kreis 9;Altstetten;47.38644;8.50317;Entire home/apt;480;3;18;2020-01-06;0.25;80;246
2869105;Letzigrund Maroon Apartment;12886487;Anna & Karina;Kreis 9;Altstetten;47.38644;8.50317;Entire home/apt;575;3;9;2018-05-04;0.13;80;331
2869130;Letzigrund Khaki Apartment;12886487;Anna & Karina;Kreis 9;Altstetten;47.38644;8.50317;Entire home/apt;575;30;6;2019-08-03;0.08;80;302
2920543;N2 - Apartment in the Old Town;12886487;Anna & Karina;Kreis 1;Rathaus;47.37505;8.54372;Entire home/apt;480;3;21;2020-02-28;0.26;80;302
2920590;ZH Seefeld-Kreuzstrasse - HITrental Apartment Züri;12886487;Anna & Karina;Kreis 8;Seefeld;47.36243;8.54878;Entire home/apt;480;1;46;2020-12-27;0.62;80;292
2920742;S1 - Charming 1 room apartment;12886487;Anna & Karina;Kreis 1;Rathaus;47.37468;8.54342;Entire home/apt;475;3;28;2021-01-09;0.36;80;325
2920780;S2 - Charming 1 room apartment;12886487;Anna & Karina;Kreis 1;Rathaus;47.37468;8.54342;Entire home/apt;480;3;17;2020-12-20;0.23;80;331
2920806;S4 - Charming 1 room apartment;12886487;Anna & Karina;Kreis 1;Rathaus;47.37468;8.54342;Entire home/apt;480;3;6;2020-07-22;0.1;80;325
2962635;S5 - Charming 1 room apartment;12886487;Anna & Karina;Kreis 1;Rathaus;47.37468;8.54342;Entire home/apt;475;3;19;2020-01-02;0.25;80;332
3044226;Best city area with amazing view and own balcony;13570663;Chris;Kreis 8;Mühlebach;47.35072;8.56191;Entire home/apt;71;4;236;2021-01-14;2.88;37;363
3073966;Sunny room in a duplex apartment;4124134;Antranik;Kreis 11;Oerlikon;47.40503;8.551;Private room;53;2;85;2020-09-19;1.06;2;364
3184020;Zürich - hipp and central;12732262;Lea;Kreis 3;Sihlfeld;47.37506;8.51654;Entire home/apt;200;14;2;2014-10-31;0.02;1;0
3251634;Cosy room in nice house & garden;16448177;Angela;Kreis 9;Albisrieden;47.37388;8.49503;Private room;57;2;233;2019-10-07;2.87;4;242
3266800;Schöner Raum am Zürichsee;12840220;Mikaelamaria;Kreis 8;Mühlebach;47.35164;8.56069;Private room;85;1;101;2020-10-04;1.24;1;361
3306566;Studio Apartment Junior;16703823;Vision Zurich;Kreis 3;Alt-Wiedikon;47.36226;8.52215;Entire home/apt;153;2;58;2020-11-22;0.72;78;308
3313809;Comfy apartment in Zürich’s central trendy area;4038444;Caroline;Kreis 5;Gewerbeschule;47.38267;8.53372;Entire home/apt;150;5;3;2020-12-19;0.18;1;56
3371972;Lifestyle in the Heart of the City;16301607;Sima;Kreis 2;Enge;47.36944;8.53467;Private room;120;4;8;2020-02-29;0.38;1;365
3460739;charming room close to main station and university;17439053;Raphael;Kreis 6;Oberstrass;47.385;8.5458;Private room;55;2;10;2020-10-02;0.12;2;0
3470221;Studio Penthouse Apartment, Seefeld;17484617;Team;Kreis 8;Mühlebach;47.35697;8.55664;Entire home/apt;220;3;3;2016-09-18;0.05;20;365
3470708;1-bedroom apartment suite, Seefeld;17484617;Team;Kreis 8;Mühlebach;47.35703;8.5567;Entire home/apt;275;3;5;2018-06-20;0.07;20;365
3483175;2-bedroom family apartment, Seefeld;17484617;Team;Kreis 8;Mühlebach;47.35578;8.5566;Entire home/apt;415;3;14;2019-09-30;0.18;20;365
3487718;1-bedroom apartment, Seefeld;17484617;Team;Kreis 8;Mühlebach;47.35578;8.55666;Entire home/apt;255;3;6;2016-08-17;0.08;20;365
3631629;Central location next to the lake 2 room flat;18306611;Natalia;Kreis 8;Mühlebach;47.36467;8.549;Entire home/apt;109;4;44;2020-09-27;0.56;1;56
3680581;Bright Airy Apt on Lake Zurich;4800368;Lizanne;Kreis 8;Seefeld;47.3574;8.55247;Entire home/apt;250;2;25;2017-07-30;0.31;1;365
3682078;A 3li  3,5 Zimmer / 2-bedroom Zurich-downtown;18715465;Joy;Kreis 7;Hottingen;47.36956;8.55737;Entire home/apt;150;3;2;2020-10-26;0.03;6;89
3683319;B4  3bedroom in the heart of Zurich;18715465;Joy;Kreis 8;Weinegg;47.36231;8.55827;Entire home/apt;190;3;79;2021-01-02;1.1;6;0
3691351;B5 Stylish Penthouse, 4 bedrooms;18715465;Joy;Kreis 8;Weinegg;47.36231;8.55827;Entire home/apt;295;3;80;2021-01-03;1.15;6;74
3698713;Cosy studio close to hot spots;18023801;Thomas M.;Kreis 10;Wipkingen;47.39342;8.52349;Entire home/apt;60;7;56;2020-10-07;0.79;1;327
3745895;Beautiful Studio in trendy area;10325499;Sari;Kreis 5;Escher Wyss;47.38729;8.52267;Entire home/apt;130;3;7;2016-06-17;0.09;1;0
3777445;Home away from Home;5514332;Aaron;Kreis 7;Hirslanden;47.36092;8.56657;Entire home/apt;130;3;0;;;1;87
3813905;Stadt Zürich15/ kleines Studio;19610180;Rossana;Kreis 9;Altstetten;47.38157;8.48096;Entire home/apt;55;1;249;2021-01-03;3.64;15;342
3814983;B EG 3 bedroom 8008 Zürich-downtown;18715465;Joy;Kreis 8;Weinegg;47.36231;8.55827;Entire home/apt;190;3;49;2020-10-27;0.62;6;89
3815346;B 1re Studio, 8008 Zürich-downtown;18715465;Joy;Kreis 7;Hirslanden;47.36342;8.55865;Entire home/apt;90;2;3;2020-12-27;0.04;6;363
3816071;Zimmer zu vermieten;19622093;Stephan;Kreis 9;Altstetten;47.38499;8.4942;Private room;60;2;1;2020-04-01;0.09;1;178
3857206;Stylish apartment in the centre of Zurich.;19898314;Katarína;Kreis 3;Alt-Wiedikon;47.36607;8.5192;Entire home/apt;64;2;13;2020-10-03;0.59;3;364
3866277;1 Bed modern 63sqm apartment near Heuried;19959355;Manu;Kreis 3;Friesenberg;47.36546;8.50422;Entire home/apt;103;8;7;2020-10-01;0.36;2;55
3872298;beautiful luxury apartment...;20002991;Mars;Kreis 9;Altstetten;47.38863;8.49107;Entire home/apt;95;3;44;2020-11-14;0.56;1;364
3890636;Stadt Zürich 3, Appartement-Studio (3);19610180;Rossana;Kreis 4;Hard;47.37997;8.50702;Entire home/apt;68;1;372;2021-01-26;4.7;15;358
3941358;Loftstyle, trendy Studio Best place in Zurich !;13570663;Chris;Kreis 8;Mühlebach;47.364;8.54975;Entire home/apt;79;4;125;2019-09-10;1.58;37;363
3968145;Charming guestroom, near ETH and City, nice garden;20564717;Barbara;Kreis 10;Höngg;47.39662;8.50882;Private room;70;2;87;2020-09-13;1.1;1;356
4004234;Mattress or sofa in City Center;3541506;Wister;Kreis 2;Enge;47.35858;8.5283;Shared room;30;19;0;;;1;0
4010588;Helle Wohnung in Haus mit Garten;16448177;Angela;Kreis 9;Albisrieden;47.37431;8.49474;Entire home/apt;245;2;16;2019-06-12;0.22;4;242
4111659;Nice Room in modern Flat;4479427;Nima;Kreis 9;Altstetten;47.38925;8.48709;Private room;60;1;4;2018-07-04;0.06;3;1
4145732;Stadt Zürich 4101-Appartement Albisriederplatz;19610180;Rossana;Kreis 9;Altstetten;47.38287;8.50033;Entire home/apt;72;1;116;2021-01-21;1.55;15;362
4195239;Studio Apartment, Forchstrasse;17484617;Team;Kreis 7;Hirslanden;47.36051;8.5649;Entire home/apt;155;3;36;2019-05-29;0.5;20;365
4201758;1-bedroom apartment, Forchstrasse;17484617;Team;Kreis 7;Hirslanden;47.36051;8.5649;Entire home/apt;177;3;5;2019-07-31;0.07;20;365
4201898;2-bedroom apartment, Forchstrasse;17484617;Team;Kreis 7;Hirslanden;47.36051;8.5649;Entire home/apt;330;3;39;2019-07-23;0.56;20;365
4202724;Studio apartment 40m², Lindenstrasse;17484617;Team;Kreis 8;Seefeld;47.35784;8.553;Entire home/apt;220;3;6;2019-09-22;0.08;20;365
4212413;Quiet Attic near ZH Centre;6484837;Gweneth;Kreis 7;Hirslanden;47.3622;8.56618;Entire home/apt;80;3;13;2019-07-19;0.17;1;56
4222482;1-bedroom apartment, Lindenstrasse;17484617;Team;Kreis 8;Seefeld;47.35784;8.553;Entire home/apt;285;3;5;2019-10-31;0.07;20;365
4222657;2-bedroom apartment, Lindenstrasse;17484617;Team;Kreis 8;Seefeld;47.35784;8.553;Entire home/apt;440;3;21;2019-07-28;0.28;20;365
4222997;1-bedroom apartment, Nordstrasse;17484617;Team;Kreis 6;Unterstrass;47.38368;8.53995;Entire home/apt;220;7;11;2019-10-05;0.14;20;365
4230607;Swiss Design in Zürich-Oerlikon;7349875;Sonja;Kreis 11;Oerlikon;47.4069;8.54821;Entire home/apt;110;7;26;2020-09-27;0.46;1;298
4246456;Mini-Musiker-Zimmer;21714165;Katie;Kreis 1;Rathaus;47.37136;8.54351;Private room;59;1;760;2021-02-02;10.29;2;90
4281532;1-bedroom apartment, Lindenstrasse;17484617;Team;Kreis 8;Seefeld;47.35784;8.553;Entire home/apt;285;3;2;2015-06-29;0.03;20;365
4290893;1-bedroom apartment, Nordstrasse;17484617;Team;Kreis 6;Unterstrass;47.38368;8.53995;Entire home/apt;220;7;5;2019-05-16;0.07;20;365
4315829;Double bed room 2 Top of Zurich;22404783;Silvia;Kreis 7;Witikon;47.35811;8.59906;Private room;89;2;17;2021-01-02;0.25;3;333
4368558;Modern spacious apartment;17455976;Simon;Kreis 3;Sihlfeld;47.38018;8.50485;Entire home/apt;132;100;2;2015-05-23;0.03;1;365
4381761;Style&Large @Hipster-City-Center with HomeCinema.;1926619;Stefan;Kreis 4;Langstrasse;47.37833;8.5263;Entire home/apt;191;2;52;2021-01-01;1.1;1;79
4413887;Zurich apartment;22911763;Greg;Kreis 8;Seefeld;47.35865;8.5494;Entire home/apt;165;2;4;2015-05-22;0.05;1;209
4425602;spacious 75m² home with big terrace;1006097;Franziska;Kreis 9;Altstetten;47.39258;8.4786;Entire home/apt;55;1;46;2020-09-20;0.63;1;237
4425760;Spacious, centrally located flat;2963607;Sandra;Kreis 6;Unterstrass;47.38873;8.53798;Entire home/apt;120;7;30;2020-03-15;0.4;1;0
4441731;Furnished double room very centrally located;8229175;Oliver;Kreis 4;Langstrasse;47.38062;8.52621;Private room;76;1;8;2018-10-01;0.11;1;365
4442490;Studio Apartment Junior;16703823;Vision Zurich;Kreis 11;Seebach;47.41409;8.545;Entire home/apt;125;2;29;2020-01-05;0.38;78;308
4460481;Cozy room & Sunny balcony in Zurich;12051025;Churyon;Kreis 9;Altstetten;47.38917;8.48504;Private room;59;1;75;2019-11-15;1.18;1;56
4475762;2-room-apartment in Zurich Kreis 10;3483049;Demian;Kreis 10;Wipkingen;47.39218;8.52935;Entire home/apt;75;50;7;2020-06-19;0.09;1;40
4531677;Masterbedroom in Duplex Apartment;7698073;Christian;Kreis 2;Enge;47.36006;8.53437;Private room;70;1;14;2020-01-05;0.19;4;0
4622281;Modern, large penthouse apartment;7907114;Judith;Kreis 5;Escher Wyss;47.3875;8.52281;Entire home/apt;360;4;12;2016-08-05;0.16;1;215
4632985;Möblierte Wohnung/Zimmer;23991509;Danilo;Kreis 11;Seebach;47.41792;8.54644;Private room;82;5;0;;;1;362
4666089;Modern & cosy room in the city center;2598633;Antonio;Kreis 5;Gewerbeschule;47.3836;8.52844;Private room;190;1;0;;;1;88
4666318;Bright and charming, in Zürich;3477312;Gisela;Kreis 3;Alt-Wiedikon;47.35924;8.52103;Entire home/apt;200;6;31;2020-09-19;0.44;1;236
4673094;87 square flat in the middle of Zurich;7370289;Michael;Kreis 4;Hard;47.38115;8.51781;Entire home/apt;95;3;0;;;1;4
4677849;Cozy, centrl 1 BR, 1 living R, top floor, terrace;2266078;Dan;Kreis 5;Gewerbeschule;47.38568;8.53316;Entire home/apt;80;10;7;2021-01-30;0.13;1;2
4695553;35 m2 flat in the heart of zurich;24275535;Ramon;Kreis 4;Langstrasse;47.37781;8.52697;Entire home/apt;114;2;0;;;1;365
4748384;1 Bedroom Serviced Apartment, Unterstrass;24506494;EMA House;Kreis 6;Unterstrass;47.38417;8.54212;Entire home/apt;238;2;1;2016-11-24;0.02;18;364
4796892;Musiker-Unterkunft;21714165;Katie;Kreis 1;Rathaus;47.3714;8.54349;Private room;64;1;669;2020-09-23;8.88;2;90
4820818;Calm Zurich City Studio - desinfected & clean;20267050;Eva;Kreis 4;Langstrasse;47.37611;8.53542;Entire home/apt;135;5;26;2020-09-14;0.35;1;178
4896019;Cozy Flat in best area of Zurich!;2276370;Mon;Kreis 4;Langstrasse;47.37797;8.51969;Entire home/apt;95;365;3;2016-08-15;0.04;1;362
4903665;Cooles Doppel/Zweibettzimmer;2130301;Fabian;Kreis 11;Affoltern;47.41601;8.5176;Private room;65;1;10;2019-12-08;0.14;6;364
4921250;charming flat in excellent location;25347589;Patricia;Kreis 6;Oberstrass;47.38651;8.54511;Entire home/apt;195;3;78;2020-10-01;1.09;1;363
4946415;Quiet Luxury Apartment Citycenter;25492897;Daniel;Kreis 4;Langstrasse;47.37642;8.52352;Entire home/apt;210;3;53;2021-01-15;0.73;1;247
4999355;Big room in house with garden;16448177;Angela;Kreis 9;Albisrieden;47.37559;8.49309;Private room;60;2;176;2019-08-19;2.38;4;242
5000434;fully furnished flat / nearby ETH + Airport + City;7926514;Ruben;Kreis 11;Affoltern;47.41939;8.51165;Entire home/apt;50;2;29;2021-01-27;0.42;1;101
5018780;Big cosy room with balcony;16448177;Angela;Kreis 9;Albisrieden;47.37367;8.49497;Private room;60;2;126;2019-09-27;1.7;4;242
5072076;Beautiful studio in city center at historical area;13570663;Chris;Kreis 1;Rathaus;47.37256;8.54436;Entire home/apt;75;4;186;2021-01-21;2.52;37;87
