Administrative;Administrative_Duration;Informational;Informational_Duration;ProductRelated;ProductRelated_Duration;BounceRates;ExitRates;PageValues;SpecialDay;Month;OperatingSystems;Browser;Region;TrafficType;Weekend;VisitorType_New_Visitor;VisitorType_Other;VisitorType_Returning_Visitor
6;580.3333332999999;0;0.0;43;1326.107143;0.018367347;0.018160173;0.0;0.0;11;1;1;3;2;False;0;0;1
2;77.0;0;0.0;32;1223.416667;0.0;0.010784314;215.00941180000004;0.0;5;3;2;4;2;False;0;0;1
8;186.5;0;0.0;57;1925.102381;0.005;0.0175;23.4154;0.0;5;2;2;3;6;False;0;0;1
0;0.0;1;25.0;15;412.8333333;0.0;0.0066666669999999;29.848000000000003;0.0;5;2;4;1;4;False;1;0;0
3;90.5;0;0.0;15;369.5;0.0;0.025;0.0;0.0;11;3;2;2;2;True;1;0;0
2;21.25;0;0.0;15;305.2083333;0.0;0.010784314;0.0;0.0;11;2;4;7;2;False;0;0;1
4;88.25;2;546.5;37;2304.5;0.0;0.005;14.54270238;0.0;11;2;2;9;2;False;1;0;0
9;328.75;0;0.0;108;2793.733084;0.0019493179999999;0.019205066;0.0;0.0;11;2;2;1;3;False;0;0;1
0;0.0;0;0.0;87;1197.700198;0.0;0.002352941;38.00063931;0.0;11;2;2;1;2;False;1;0;0
7;144.4615385;4;167.16666669999998;111;2312.337853;0.005128205;0.0138875589999999;8.191922892000001;0.0;11;1;1;1;2;False;0;0;1
0;0.0;0;0.0;4;82.5;0.0;0.05;0.0;0.0;3;3;2;1;3;False;0;0;1
9;98.94444444;1;600.0;124;5731.094443999999;0.018346253;0.03371764;1.914174972;0.2;5;2;2;3;13;False;0;0;1
0;0.0;0;0.0;3;41.0;0.0;0.033333333;0.0;0.0;3;2;2;1;3;True;0;0;1
1;0.0;0;0.0;1;19.0;0.0;0.1;0.0;0.0;3;1;1;3;1;False;0;0;1
0;0.0;1;33.75;72;1460.908333;0.0;0.014851055;0.0;0.0;11;1;1;1;2;False;0;0;1
0;0.0;0;0.0;2;53.0;0.0;0.1;0.0;0.0;5;4;2;4;13;False;0;0;1
0;0.0;0;0.0;4;81.5;0.0;0.025;0.0;0.0;5;1;1;2;4;True;0;0;1
0;0.0;0;0.0;2;5.0;0.0;0.1;0.0;0.0;3;2;2;1;2;False;0;0;1
2;37.0;0;0.0;36;862.5738095;0.002857143;0.012698413;10.87212857;0.0;5;2;4;6;2;False;0;0;1
0;0.0;0;0.0;5;164.33333330000002;0.06;0.06;0.0;0.0;3;3;2;2;1;False;0;0;1
0;0.0;0;0.0;13;454.5;0.0;0.016666667;0.0;0.0;5;3;2;4;13;False;0;0;1
7;257.4;0;0.0;7;244.7333333;0.018181818;0.018181818;0.0;0.0;11;1;1;4;2;False;1;0;0
7;311.1361111;0;0.0;36;1699.073611;0.010087719;0.035614035;133.28137859999998;0.0;12;3;2;1;13;False;0;0;1
0;0.0;0;0.0;41;3272.0;0.045238095;0.078571429;0.0;0.8;5;2;6;1;6;False;0;0;1
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;3;2;2;7;1;False;0;0;1
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;3;2;2;1;1;True;0;0;1
0;0.0;0;0.0;9;166.16666669999998;0.0;0.025;17.541;1.0;5;2;2;2;4;True;0;0;1
1;202.0;0;0.0;2;8.0;0.0;0.066666667;0.0;0.0;3;2;2;8;6;False;1;0;0
2;36.2;0;0.0;22;1805.083333;0.0;0.008695652;3.586636448;0.0;9;2;2;1;2;True;0;0;1
1;42.0;0;0.0;10;1057.0;0.022222222;0.014814815;0.0;0.0;5;3;2;8;15;True;1;0;0
8;269.0416667;3;64.5;171;6400.430101;0.006967985;0.017556729;4.213364204;0.0;11;1;1;1;1;False;0;0;1
0;0.0;0;0.0;35;1579.333333;0.005714286;0.02;0.0;0.0;11;2;2;1;1;False;1;0;0
2;125.0;0;0.0;7;49.0;0.025;0.075;0.0;0.0;5;1;1;8;1;False;0;0;1
0;0.0;0;0.0;30;805.8333332999999;0.0;0.003333333;0.0;0.0;11;1;1;3;8;False;1;0;0
5;151.33333330000002;0;0.0;11;283.3333333;0.033333333;0.058333333;13.91046998;0.0;11;2;2;6;20;False;0;0;1
5;67.5;3;245.0;32;1929.329762;0.0;0.00430839;0.0;0.0;3;2;4;1;1;False;0;0;1
3;90.6;0;0.0;6;166.0;0.0;0.025;0.0;0.0;7;2;2;8;6;False;1;0;0
6;513.8333333;0;0.0;33;2690.333333;0.0;0.01754386;30.21878011;0.0;11;2;4;1;2;False;0;0;1
3;70.4;0;0.0;9;144.06666669999998;0.0;0.0;0.0;0.0;10;1;1;1;3;False;1;0;0
4;900.5;0;0.0;14;1957.5;0.0;0.0141176469999999;105.260972;0.0;12;1;1;3;10;False;0;0;1
8;183.0833333;1;40.5;349;6879.801826000001;0.000568182;0.004306345;1.625051033;0.0;11;4;2;9;10;False;0;0;1
3;51.5;0;0.0;21;1623.5;0.0;0.005;49.3886;0.6;5;2;4;2;3;False;1;0;0
2;112.8;0;0.0;27;1555.967143;0.0;0.0017241379999999;44.85638692;0.0;11;1;1;4;2;False;1;0;0
0;0.0;0;0.0;110;5244.471512;0.002201835;0.013960708;0.0;0.0;11;2;2;1;2;False;0;0;1
1;4.0;0;0.0;20;471.4777778;0.0;0.004545455;32.95851549;0.0;7;1;1;1;4;False;0;0;1
0;0.0;1;12.0;22;1668.95;0.0;0.00952381;12.18867006;0.0;12;2;2;1;2;True;1;0;0
0;0.0;0;0.0;35;888.3333332999998;0.005714286;0.024285714;7.609371428999999;0.2;5;2;2;6;3;False;0;0;1
0;0.0;0;0.0;3;57.0;0.0;0.066666667;0.0;0.2;5;2;5;1;2;False;0;0;1
9;102.8666667;3;339.5;29;693.2541667;0.0;0.014705882;77.64914484;0.0;12;2;10;1;2;False;0;0;1
3;29.44;1;0.0;4;15.24;0.0;0.039583333;0.0;0.0;9;2;2;8;2;False;0;0;1
3;118.5;0;0.0;11;241.625;0.0;0.012727273;0.0;0.0;12;3;2;3;1;True;0;0;1
4;157.0;0;0.0;20;834.075;0.0;0.013333333;4.84736534;0.0;12;2;2;1;2;False;0;0;1
0;0.0;0;0.0;40;974.0833332999998;0.006837607;0.028205128;0.0;0.0;11;2;2;1;3;False;0;0;1
0;0.0;0;0.0;20;513.3333333;0.0;0.015357143;0.0;0.0;12;2;2;3;2;False;0;0;1
7;56.3;0;0.0;15;315.4;0.0;0.011111111;0.0;0.0;10;2;2;1;2;False;1;0;0
0;0.0;0;0.0;17;1059.575;0.0;0.011764706;62.76294758;0.0;11;2;2;1;2;False;1;0;0
0;0.0;0;0.0;8;123.0;0.025;0.029166667;0.0;0.0;11;3;2;3;11;True;0;0;1
1;25.7;0;0.0;6;143.3;0.0;0.028571429;38.27331194;0.0;7;2;5;1;4;False;1;0;0
0;0.0;0;0.0;17;557.4;0.0;0.011111111;83.93274289;0.0;9;2;2;2;2;True;1;0;0
1;113.6666667;1;2.0;16;589.6666667000001;0.0;0.003632479;0.0;0.0;5;3;2;6;11;True;1;0;0
0;0.0;1;0.0;82;2710.381731;0.004938272;0.021957672;0.0;0.0;11;3;2;3;2;False;0;0;1
2;44.33333333;0;0.0;19;813.1;0.0;0.01;20.0031;0.0;5;2;2;1;2;False;0;0;1
11;631.4166667000001;5;1037.15;501;21672.24425;0.003964723;0.014292461;9.131386805;0.0;11;2;2;1;2;False;0;0;1
5;100.9166667;0;0.0;114;3488.070803;8.14e-05;0.022685492;5.698711042999999;0.0;11;2;2;3;2;False;0;0;1
2;16.0;0;0.0;33;1123.242857;0.006060606;0.021969697;11.12342124;0.0;3;2;2;3;13;False;0;0;1
1;12.0;0;0.0;63;2138.383333;0.0;0.012282691;0.0;0.0;12;2;2;7;1;False;0;0;1
1;3.0;0;0.0;40;624.75;0.0;0.014634146;0.0;0.0;3;3;7;3;3;False;0;0;1
0;0.0;0;0.0;24;452.4166667;0.0;0.020833333;0.0;0.0;11;2;2;3;2;True;0;0;1
0;0.0;1;28.0;12;276.0;0.0;0.008333333;0.0;0.0;5;4;5;9;2;False;1;0;0
0;0.0;0;0.0;2;29.0;0.0;0.05;0.0;0.0;11;1;1;3;3;False;0;0;1
1;27.9;0;0.0;64;3875.427778;0.0;0.019583333;5.698585477000001;0.0;11;2;2;1;2;False;0;0;1
0;0.0;0;0.0;15;614.3333332999999;0.007692308;0.025641026;0.0;0.0;5;1;1;1;15;False;0;0;1
1;76.0;0;0.0;19;1263.333333;0.011764706;0.023529412;60.34235294;0.6;5;2;2;1;3;False;0;0;1
2;38.0;0;0.0;11;713.0;0.0;0.016666667;113.98;0.0;5;2;2;1;2;False;0;0;1
3;78.0;0;0.0;27;672.5833332999999;0.0125;0.039583333;8.07853125;0.0;5;2;2;4;4;False;0;0;1
0;0.0;0;0.0;10;443.75;0.06;0.07;38.19240444;0.0;11;1;8;8;1;False;0;0;1
2;353.0;0;0.0;24;2874.083333;0.025;0.025357143;0.0;0.0;5;2;2;3;6;False;0;0;1
0;0.0;0;0.0;11;667.9166667000001;0.0;0.009090909;0.0;0.0;12;2;5;1;2;False;0;0;1
2;19.0;0;0.0;28;1183.65;0.0;0.0068965519999999;21.2112655;0.0;12;3;12;9;2;False;0;0;1
0;0.0;0;0.0;37;1669.559524;0.016190476;0.0513333329999999;0.0;0.0;5;3;2;3;1;False;0;0;1
6;111.5;0;0.0;26;449.0277778;0.0;0.018518519;0.0;0.6;2;1;1;3;3;False;0;0;1
1;139.5;0;0.0;100;1831.149084;0.0;0.000505051;0.0;0.0;12;2;2;3;2;False;1;0;0
4;97.0;0;0.0;22;739.5833332999999;0.009090909;0.006060606;0.0;0.0;5;1;1;6;4;True;1;0;0
11;334.75;0;0.0;20;598.7785713999999;0.0;0.007692308;26.59353846;0.2;5;2;10;1;5;False;1;0;0
6;72.04;2;206.6;24;709.4333333;0.007142857;0.016666667;15.70942935;0.0;8;2;2;2;2;False;0;0;1
0;0.0;0;0.0;7;93.7;0.028571429;0.071428571;0.0;1.0;5;3;2;2;4;True;0;0;1
0;0.0;0;0.0;79;2663.583333;0.002531646;0.017088608;0.0;0.0;11;2;2;1;1;True;0;0;1
2;992.7142857;5;809.5;28;1793.214286;0.005714286;0.016428571;9.69917706;0.0;11;2;2;1;10;False;0;0;1
0;0.0;0;0.0;13;490.0833333000001;0.0;0.003636364;11.988;1.0;5;1;8;1;11;True;1;0;0
0;0.0;2;236.0;66;1483.55;0.0;0.006153846;143.2115385;0.0;5;2;4;3;3;True;0;0;1
9;301.0;0;0.0;38;2621.621429;0.021212121;0.0445075759999999;10.72117234;0.0;11;2;2;1;13;False;0;0;1
7;79.5;2;31.5;65;5410.956705;0.0028985509999999;0.019031516;0.0;0.0;11;2;2;3;2;False;0;0;1
6;66.77272727;1;83.0;62;2050.395743;0.005882353;0.012789661;17.07978235;0.2;5;3;2;4;4;False;0;0;1
0;0.0;0;0.0;11;151.5;0.016666667;0.066666667;0.0;0.0;5;2;2;2;6;True;0;0;1
0;0.0;0;0.0;30;586.5333333;0.0;0.0034482759999999;30.87724138;0.2;5;2;2;2;2;False;1;0;0
4;92.25;1;0.0;47;1506.220833;0.0;0.025596405;8.011553351;0.4;5;2;2;1;2;False;0;0;1
3;67.5;0;0.0;30;761.75;0.0;0.015053763;19.31425101;0.0;12;2;4;1;1;True;0;0;1
0;0.0;1;55.0;9;936.8333332999998;0.0;0.022222222;53.25533333;0.0;3;1;1;1;2;True;0;0;1
8;355.0;0;0.0;50;1039.599344;0.000925926;0.010164456;0.0;0.0;11;1;2;3;10;False;0;0;1
0;0.0;0;0.0;1;15.6;0.0;0.0;47.7917708;0.0;9;1;1;6;3;False;1;0;0
7;989.9;0;0.0;27;1474.233333;0.013333333;0.025634921;0.0;0.0;5;3;2;1;3;False;0;0;1
0;0.0;0;0.0;3;75.0;0.0;0.066666667;0.0;0.0;3;2;5;1;3;True;0;0;1
4;485.3333333000001;2;18.0;19;345.3833333;0.0;0.005797101;0.0;0.0;3;3;2;3;8;True;1;0;0
0;0.0;2;76.0;35;2068.928571;0.0;0.014285714;39.27145714;0.0;5;2;6;6;6;False;0;0;1
1;65.5;1;0.0;82;5316.459524;0.005;0.01125;77.25951671;0.0;11;1;1;9;3;True;0;0;1
0;0.0;0;0.0;5;488.5;0.032727273;0.0338461539999999;0.0;0.0;3;2;7;7;6;False;0;0;1
10;1271.5;0;0.0;41;1221.138095;0.0;0.007801418;71.46597872;0.0;5;2;2;2;4;False;0;0;1
0;0.0;0;0.0;12;1165.333333;0.004166667;0.0430555559999999;0.0;0.0;3;2;2;3;2;False;0;0;1
3;136.5;0;0.0;10;412.0833333;0.0;0.016666667;0.0;0.0;12;3;3;3;2;False;1;0;0
6;45.03333333;1;69.6;120;5771.466861999999;0.002755906;0.014537746;4.586910248;0.0;8;4;2;1;2;False;0;0;1
2;0.0;0;0.0;8;119.0;0.075;0.1;0.0;0.0;5;1;2;1;2;False;0;0;1
2;95.8;0;0.0;83;4052.358631;0.000340136;0.008176477;19.61979883;0.0;9;2;2;4;3;False;0;0;1
4;69.96666667;0;0.0;28;2728.755;0.0;0.009313725;0.0;0.0;10;1;1;1;5;False;0;0;1
2;182.4;0;0.0;27;1165.944762;0.0;0.0074074069999999;0.0;0.0;11;2;4;6;11;True;1;0;0
1;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;11;3;2;3;8;False;0;0;1
3;152.5;5;243.5;43;3065.945238;0.0;0.011666667;3.3110800000000005;0.0;3;1;2;1;1;True;0;0;1
1;23.2;0;0.0;27;1061.55;0.003703704;0.018518519;43.29821166;0.0;8;2;2;6;5;False;0;0;1
2;32.0;0;0.0;16;230.1;0.0;0.0125;0.0;0.0;5;2;2;2;1;True;0;0;1
3;66.33333333;0;0.0;12;368.68;0.04;0.084444444;21.24191985;0.0;11;2;2;1;2;False;0;0;1
1;6.0;1;7.0;25;591.8928571;0.0;0.020833333;165.62046669999998;0.0;5;1;1;8;4;True;0;0;1
4;83.25;0;0.0;152;4307.409559000001;0.002631579;0.005971036;0.3053120569999999;0.0;12;2;2;1;2;False;0;0;1
5;172.2;0;0.0;23;792.7222222;0.0;0.010714286;261.4912857;0.0;3;2;2;1;8;False;1;0;0
0;0.0;0;0.0;6;399.0;0.033333333;0.022222222;44.99;0.0;5;3;2;2;5;False;0;0;1
6;151.7;0;0.0;34;799.327381;0.017647059;0.023340336;0.0;0.0;12;3;2;1;2;False;0;0;1
4;218.9666667;0;0.0;12;672.7;0.0;0.004444444;83.10114264;0.0;11;2;2;3;2;True;0;0;1
11;344.1;2;477.6;57;1475.608427;0.01641791;0.030868963;10.45977002;0.0;10;1;1;3;1;False;0;0;1
0;0.0;0;0.0;43;654.0666667;0.0;0.029844961;0.0;0.0;7;2;2;7;3;False;0;0;1
0;0.0;0;0.0;7;496.75;0.0;0.011111111;0.0;0.0;3;3;2;6;1;False;0;0;1
4;282.1;0;0.0;7;107.6;0.0;0.011111111;0.0;0.0;8;1;1;2;5;False;1;0;0
3;16.33333333;0;0.0;23;505.5833333000001;0.008;0.03;9.15008;0.0;3;4;1;1;2;False;0;0;1
2;110.8;0;0.0;6;85.76666667;0.0;0.028571429;59.57182786;0.0;8;1;1;1;4;False;0;0;1
0;0.0;0;0.0;28;859.3333332999998;0.0;0.0074074069999999;17.50632106;0.0;11;4;1;6;2;False;1;0;0
3;95.6;0;0.0;10;337.1;0.008333333;0.029166667;0.0;0.0;7;1;1;9;3;False;0;0;1
1;30.0;0;0.0;16;597.6;0.0;0.0125;0.0;0.0;3;1;1;3;2;False;0;0;1
5;71.08333333;0;0.0;24;1249.708333;0.0;0.005128205;52.28491058;0.0;12;2;2;3;2;False;1;0;0
0;0.0;0;0.0;27;1224.541667;0.0;0.0246913579999999;0.0;0.0;12;4;2;1;2;True;1;0;0
0;0.0;0;0.0;59;1560.601163;0.005172414;0.010673235;0.0;0.0;3;1;1;1;2;False;0;0;1
7;110.25;0;0.0;20;266.5833333;0.011111111;0.039753086;0.0;0.0;3;2;2;1;2;False;0;0;1
0;0.0;0;0.0;21;1051.166667;0.0;0.00952381;14.14084367;0.0;11;1;8;2;6;True;1;0;0
1;28.2;0;0.0;2;0.0;0.066666667;0.133333333;0.0;0.0;6;1;8;2;3;True;1;0;0
0;0.0;0;0.0;19;866.3333332999998;0.0;0.025;14.58941181;0.0;12;2;4;3;2;True;0;0;1
0;0.0;0;0.0;3;71.5;0.066666667;0.133333333;0.0;0.0;11;2;2;3;3;False;0;0;1
0;0.0;0;0.0;35;2352.166667;0.0;0.006060606;0.0;0.0;11;2;2;6;2;False;1;0;0
0;0.0;0;0.0;9;153.2;0.02;0.06;27.8892456;0.0;8;2;2;7;13;False;0;0;1
0;0.0;0;0.0;4;66.5;0.0;0.025;0.0;0.0;12;2;2;1;10;False;0;0;1
0;0.0;0;0.0;20;526.8;0.0;0.010526316;104.2012273;0.0;9;2;2;1;2;False;0;0;1
9;269.8;0;0.0;112;2478.622727;0.0;0.004005848;60.43385263;0.2;5;2;2;4;3;False;0;0;1
2;98.0;0;0.0;29;1407.375;0.0;0.0066666669999999;39.59436227;0.0;12;2;2;4;1;True;0;0;1
0;0.0;0;0.0;4;0.0;0.2;0.2;0.0;0.4;2;2;2;1;3;False;0;0;1
5;158.5;2;15.0;34;2193.383333;0.0;0.0243243239999999;0.0;0.0;11;1;1;1;2;True;0;0;1
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;12;1;1;6;2;False;0;0;1
0;0.0;0;0.0;38;314.8333333;0.010526316;0.031578947;0.0;0.6;5;2;2;1;3;False;0;0;1
1;0.0;0;0.0;39;1159.541667;0.00125;0.03125;0.0;0.0;11;2;2;6;2;True;0;0;1
0;0.0;0;0.0;9;1397.666667;0.022222222;0.027777778;0.0;0.0;11;3;2;4;2;False;0;0;1
5;178.92;1;6.0;33;1017.576667;0.013157895;0.011842105;0.0;0.0;11;3;2;1;3;False;0;0;1
3;79.22;2;297.8333333;62;1685.7479850000002;0.0;0.013128205;0.0;0.0;7;2;2;3;2;False;0;0;1
14;325.48;6;22.6;24;359.63;0.0243243239999999;0.042342342;0.0;0.0;9;1;1;2;4;True;0;0;1
8;121.425;3;273.5;100;2565.797222;0.001869159;0.012071651;0.0;0.0;11;2;2;7;13;True;0;0;1
0;0.0;0;0.0;3;23.0;0.066666667;0.1;0.0;0.6;5;3;2;1;3;False;0;0;1
0;0.0;0;0.0;9;339.5;0.0;0.013888889;0.0;0.0;12;1;2;3;2;True;1;0;0
0;0.0;0;0.0;8;724.2;0.022222222;0.03968254;5.091914289;0.0;11;1;1;3;1;False;0;0;1
0;0.0;0;0.0;3;402.0;0.0;0.066666667;0.0;0.0;11;4;2;3;2;False;0;0;1
0;0.0;1;0.0;7;50.0;0.038095238;0.0809523809999999;0.0;0.6;2;2;4;1;7;False;0;0;1
3;36.0;0;0.0;3;29.5;0.0;0.04;0.0;0.0;11;2;10;3;2;False;0;1;0
0;0.0;0;0.0;58;3178.5;0.0;0.0157894739999999;0.0;0.0;11;2;2;9;2;False;0;0;1
6;240.9;2;201.4;237;9437.769068;0.010204082;0.030380952;1.453831135;0.0;6;2;4;3;1;False;0;0;1
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;3;2;2;7;1;True;0;0;1
4;178.16666669999998;4;162.66666669999998;4;214.8333333;0.0;0.018181818;0.0;0.0;12;2;2;2;1;False;0;0;1
0;0.0;0;0.0;2;0.0;0.2;0.2;0.0;0.0;11;2;10;2;10;False;0;0;1
3;86.95;6;173.2;17;481.31;0.0;0.0;27.69500776;0.0;11;2;2;9;20;False;1;0;0
4;1660.3;0;0.0;2;45.7;0.0;0.016666667;113.9293434;0.0;9;2;10;1;2;False;0;0;1
6;141.91666669999998;2;1060.75;136;8777.613879;0.007159986;0.016360941;21.3825758;0.0;12;3;2;1;2;False;0;0;1
4;104.25;0;0.0;38;1429.875;0.0;0.022807018;4.113391331;0.0;11;2;2;1;13;False;0;0;1
2;52.5;0;0.0;13;605.5;0.0;0.0066666669999999;0.0;0.0;11;2;2;3;2;False;0;0;1
14;173.55;0;0.0;164;4155.746883;0.002514286;0.01343784;13.76473644;0.0;11;2;2;3;2;False;0;0;1
6;136.5555556;0;0.0;59;3224.819084;0.002985075;0.011923715;8.567426866;0.0;3;2;4;2;2;True;0;0;1
2;94.6;1;74.6;16;199.0;0.0;0.0157894739999999;0.0;0.0;7;1;2;9;2;False;1;0;0
5;59.0;0;0.0;3;44.66666667;0.0;0.025;0.0;0.0;3;2;4;6;2;True;0;0;1
7;138.15;0;0.0;9;232.31;0.0;0.028717949;0.0;0.0;10;2;2;5;2;True;0;0;1
3;89.25;0;0.0;8;67.85;0.018181818;0.033333333;0.0;0.0;6;2;2;8;1;False;0;0;1
5;140.25;4;282.0;4;213.5;0.0;0.009090909;0.0;0.0;11;3;2;1;2;False;1;0;0
0;0.0;3;341.3333333;59;2946.6;0.003278689;0.007962529;9.380377049;0.0;5;1;1;6;2;True;0;0;1
3;61.65;7;380.9571429;102;3025.290325;0.014102564;0.019800052;11.43180835;0.0;9;3;2;1;2;False;0;0;1
2;87.5;0;0.0;29;1352.133333;0.0;0.025287356;34.60160214;0.0;11;3;2;6;2;True;0;0;1
7;84.83333333;0;0.0;57;1897.6875;0.009090909;0.017857143;0.0;0.0;11;1;2;3;3;False;0;0;1
0;0.0;0;0.0;15;450.2;0.0;0.021904762;0.0;0.0;5;2;2;7;2;False;0;0;1
1;41.0;0;0.0;9;314.9;0.0;0.04;0.0;0.0;3;1;1;6;9;True;1;0;0
3;189.0;1;32.0;26;1517.9;0.0;0.007142857;34.34857143;0.0;5;2;2;7;1;False;1;0;0
3;137.0;4;219.0;22;924.0;0.007142857;0.028571429;29.90282143;0.2;5;2;2;9;2;False;1;0;0
2;268.08;0;0.0;13;420.24666669999993;0.042105263;0.064912281;0.0;0.0;9;3;2;1;13;True;0;0;1
1;51.4;0;0.0;7;562.3;0.0;0.0;36.65735004;0.0;7;1;1;6;2;True;1;0;0
0;0.0;0;0.0;84;2197.780952;0.01031746;0.0147799419999999;0.0;0.0;11;1;1;3;2;False;0;0;1
0;0.0;0;0.0;81;1950.840873;0.004938272;0.0247736629999999;0.0;0.0;11;2;2;1;2;False;0;0;1
5;68.66666667;0;0.0;11;126.5;0.01547619;0.032291667;0.0;0.0;5;2;2;4;2;False;0;0;1
2;45.5;0;0.0;22;535.0;0.0;0.025;9.650250036;0.0;11;2;2;3;11;True;0;0;1
3;73.5;8;376.3333333;42;986.5166667;0.019934641;0.031113658;0.0;0.0;5;3;2;1;1;True;0;0;1
1;23.0;0;0.0;15;656.25;0.028571429;0.028571429;0.0;0.0;3;1;1;8;2;True;0;0;1
4;131.0;0;0.0;30;548.96;0.005882353;0.026470588;6.929826318;0.0;11;2;2;2;4;False;0;0;1
2;47.0;0;0.0;39;1743.3666670000002;0.0;0.016410256;78.93483561;0.0;3;3;3;2;1;False;0;0;1
8;213.75;2;45.5;30;2054.841667;0.0;0.001041667;21.9646242;0.0;12;1;1;6;2;False;1;0;0
6;161.83333330000002;5;858.5708332999999;84;2701.337954;0.010771277;0.016381748;7.477388113;0.0;11;1;2;1;1;False;0;0;1
0;0.0;0;0.0;9;355.1666667;0.0;0.004166667;18.02533;0.0;3;2;4;1;2;False;0;0;1
0;0.0;0;0.0;1;0.0;0.2;0.2;0.0;0.0;11;3;2;2;11;True;0;0;1
13;448.0621212;2;504.5;171;5341.784253;0.009401851;0.016398799;12.09622118;0.0;11;3;2;1;13;False;0;0;1
0;0.0;0;0.0;39;4022.0;0.0;0.034188034;0.0;0.0;11;2;2;6;1;False;0;0;1
3;109.0;0;0.0;31;3116.5;0.0;0.005208333;0.0;0.0;12;3;2;1;10;False;0;0;1
2;235.0;0;0.0;23;1193.0;0.0;0.008333333;45.6125;0.0;5;3;2;7;2;False;1;0;0
0;0.0;0;0.0;10;279.3333333;0.02;0.025;0.0;0.0;11;3;2;9;2;False;1;0;0
5;56.8;0;0.0;3;27.2;0.0;0.033333333;0.0;0.0;11;2;2;6;2;False;1;0;0
4;207.5;0;0.0;2;56.5;0.0;0.02;0.0;0.0;12;3;2;2;2;True;1;0;0
0;0.0;1;0.0;51;2122.656061;0.0;0.007051282;9.294775641;0.0;3;2;2;1;10;False;0;0;1
3;25.57142857;1;0.0;15;2026.47619;0.011764706;0.07254902;0.0;0.0;5;4;1;1;1;False;0;0;1
2;82.0;0;0.0;13;155.9833333;0.0;0.037777778;0.0;0.0;12;2;2;1;2;False;0;0;1
7;94.84;0;0.0;43;1487.229317;0.004545455;0.019638695;0.0;0.0;10;2;4;1;2;False;0;0;1
2;21.33333333;0;0.0;3;45.33333333;0.0;0.0125;0.0;0.0;5;3;2;4;4;True;0;0;1
0;0.0;0;0.0;31;2767.625;0.0;0.0068965519999999;52.67778465;0.0;11;8;13;9;20;False;0;1;0
