Loan_ID;LoanStatus;IsMale;Married;Dependents;Graduated;SelfEmployed;ApplicantIncome;CoapplicantIncome;LoanAmount;LoanAmountTerm;CreditHistory;Rural;Semiurban;Urban
LP001146;0;0;1;0;1;0;2645;3440.0;120.0;360.0;0;0;0;1
LP001151;1;0;0;0;1;0;4000;2275.0;144.0;360.0;1;0;1;0
LP001155;1;0;1;0;0;0;1928;1644.0;100.0;360.0;1;0;1;0
LP001157;1;0;0;0;1;0;3086;0.0;120.0;360.0;1;0;1;0
LP001164;0;0;0;0;1;0;4230;0.0;112.0;360.0;1;0;1;0
LP001179;0;1;1;2;1;0;4616;0.0;134.0;360.0;1;0;0;1
LP001186;0;0;1;1;1;1;11500;0.0;286.0;360.0;0;0;0;1
LP001194;1;1;1;2;1;0;2708;1167.0;97.0;360.0;1;0;1;0
LP001195;1;1;1;0;1;0;2132;1591.0;96.0;360.0;1;0;1;0
LP001197;0;1;1;0;1;0;3366;2200.0;135.0;360.0;1;1;0;0
LP001198;1;1;1;1;1;0;8080;2250.0;180.0;360.0;1;0;0;1
LP001199;1;1;1;2;0;0;3357;2859.0;144.0;360.0;1;0;0;1
LP001205;1;1;1;0;1;0;2500;3796.0;120.0;360.0;1;0;0;1
LP001206;1;1;1;3;1;0;3029;0.0;99.0;360.0;1;0;0;1
LP001207;0;1;1;0;0;1;2609;3449.0;165.0;180.0;0;1;0;0
LP001222;0;0;0;0;1;0;4166;0.0;116.0;360.0;0;0;1;0
LP001225;0;1;1;0;1;0;5726;4595.0;258.0;360.0;1;0;1;0
LP001228;0;1;0;0;0;0;3200;2254.0;126.0;180.0;0;0;0;1
LP001233;1;1;1;1;1;0;10750;0.0;312.0;360.0;1;0;0;1
LP001238;1;1;1;3;0;1;7100;0.0;125.0;60.0;1;0;0;1
LP001241;0;0;0;0;1;0;4300;0.0;136.0;360.0;0;0;1;0
LP001243;1;1;1;0;1;0;3208;3066.0;172.0;360.0;1;0;0;1
LP001245;1;1;1;2;0;1;1875;1875.0;97.0;360.0;1;0;1;0
LP001248;1;1;0;0;1;0;3500;0.0;81.0;300.0;1;0;1;0
LP001253;1;1;1;3;1;1;5266;1774.0;187.0;360.0;1;0;1;0
LP001255;0;1;0;0;1;0;3750;0.0;113.0;480.0;1;0;0;1
LP001256;0;1;0;0;1;0;3750;4750.0;176.0;360.0;1;0;0;1
LP001259;0;1;1;1;1;1;1000;3022.0;110.0;360.0;1;0;0;1
LP001263;0;1;1;3;1;0;3167;4000.0;180.0;300.0;0;0;1;0
LP001264;1;1;1;3;0;1;3333;2166.0;130.0;360.0;0;0;1;0
LP001265;1;0;0;0;1;0;3846;0.0;111.0;360.0;1;0;1;0
LP001267;0;0;1;2;1;0;1378;1881.0;167.0;360.0;1;0;0;1
LP001273;0;1;1;0;1;0;6000;2250.0;265.0;360.0;0;0;1;0
LP001275;1;1;1;1;1;0;3988;0.0;50.0;240.0;1;0;0;1
LP001279;1;1;0;0;1;0;2366;2531.0;136.0;360.0;1;0;1;0
LP001280;1;1;1;2;0;0;3333;2000.0;99.0;360.0;0;0;1;0
LP001282;1;1;1;0;1;0;2500;2118.0;104.0;360.0;1;0;1;0
LP001289;1;1;0;0;1;0;8566;0.0;210.0;360.0;1;0;0;1
LP001310;1;1;1;0;1;0;5695;4167.0;175.0;360.0;1;0;1;0
LP001316;1;1;1;0;1;0;2958;2900.0;131.0;360.0;1;0;1;0
LP001318;1;1;1;2;1;0;6250;5654.0;188.0;180.0;1;0;1;0
LP001319;1;1;1;2;0;0;3273;1820.0;81.0;360.0;1;0;0;1
LP001322;1;1;0;0;1;0;4133;0.0;122.0;360.0;1;0;1;0
LP001325;1;1;0;0;0;0;3620;0.0;25.0;120.0;1;0;1;0
LP001327;1;0;1;0;1;0;2484;2302.0;137.0;360.0;1;0;1;0
LP001333;1;1;1;0;1;0;1977;997.0;50.0;360.0;1;0;1;0
LP001334;1;1;1;0;0;0;4188;0.0;115.0;180.0;1;0;1;0
LP001343;1;1;1;0;1;0;1759;3541.0;131.0;360.0;1;0;1;0
LP001345;1;1;1;2;0;0;4288;3263.0;133.0;180.0;1;0;0;1
LP001349;1;1;0;0;1;0;4843;3806.0;151.0;360.0;1;0;1;0
LP001357;1;1;0;0;1;0;3816;754.0;160.0;360.0;1;0;0;1
LP001367;1;1;1;1;1;0;3052;1030.0;100.0;360.0;1;0;0;1
LP001369;1;1;1;2;1;0;11417;1126.0;225.0;360.0;1;0;0;1
LP001370;0;1;0;0;0;0;7333;0.0;120.0;360.0;1;1;0;0
LP001379;0;1;1;2;1;0;3800;3600.0;216.0;360.0;0;0;0;1
LP001384;1;1;1;3;0;0;2071;754.0;94.0;480.0;1;0;1;0
LP001385;1;1;0;0;1;0;5316;0.0;136.0;360.0;1;0;0;1
LP001387;1;0;1;0;1;0;2929;2333.0;139.0;360.0;1;0;1;0
LP001398;1;1;0;0;1;0;5050;0.0;118.0;360.0;1;0;1;0
LP001401;1;1;1;1;1;0;14583;0.0;185.0;180.0;1;1;0;0
LP001404;1;0;1;0;1;0;3167;2283.0;154.0;360.0;1;0;1;0
LP001405;1;1;1;1;1;0;2214;1398.0;85.0;360.0;0;0;0;1
LP001421;0;1;1;0;1;0;5568;2142.0;175.0;360.0;1;1;0;0
LP001422;1;0;0;0;1;0;10408;0.0;259.0;360.0;1;0;0;1
LP001426;1;1;1;0;1;0;5667;2667.0;180.0;360.0;1;1;0;0
LP001430;1;0;0;0;1;0;4166;0.0;44.0;360.0;1;0;1;0
LP001431;1;0;0;0;1;0;2137;8980.0;137.0;360.0;0;0;1;0
LP001432;1;1;1;2;1;0;2957;0.0;81.0;360.0;1;0;1;0
LP001439;1;1;1;0;0;0;4300;2014.0;194.0;360.0;1;1;0;0
LP001443;1;0;0;0;1;0;3692;0.0;93.0;360.0;0;1;0;0
LP001448;1;1;1;3;1;0;23803;0.0;370.0;360.0;1;1;0;0
LP001451;0;1;1;1;1;1;10513;3850.0;160.0;180.0;0;0;0;1
LP001465;0;1;1;0;1;0;6080;2569.0;182.0;360.0;0;1;0;0
LP001469;1;1;0;0;1;1;20166;0.0;650.0;480.0;0;0;0;1
LP001473;1;1;0;0;1;0;2014;1929.0;74.0;360.0;1;0;0;1
LP001478;1;1;0;0;1;0;2718;0.0;70.0;360.0;1;0;1;0
LP001482;1;1;1;0;1;1;3459;0.0;25.0;120.0;1;0;1;0
LP001487;1;1;0;0;1;0;4895;0.0;102.0;360.0;1;0;1;0
LP001488;0;1;1;3;1;0;4000;7750.0;290.0;360.0;1;0;1;0
LP001489;0;0;1;0;1;0;4583;0.0;84.0;360.0;1;1;0;0
LP001491;1;1;1;2;1;1;3316;3500.0;88.0;360.0;1;0;0;1
LP001492;0;1;0;0;1;0;14999;0.0;242.0;360.0;0;0;1;0
LP001493;0;1;1;2;0;0;4200;1430.0;129.0;360.0;1;1;0;0
LP001497;0;1;1;2;1;0;5042;2083.0;185.0;360.0;1;1;0;0
LP001498;1;1;0;0;1;0;5417;0.0;168.0;360.0;1;0;0;1
LP001504;1;1;0;0;1;1;6950;0.0;175.0;180.0;1;0;1;0
LP001507;1;1;1;0;1;0;2698;2034.0;122.0;360.0;1;0;1;0
LP001508;1;1;1;2;1;0;11757;0.0;187.0;180.0;1;0;0;1
LP001514;1;0;1;0;1;0;2330;4486.0;100.0;360.0;1;0;1;0
LP001516;1;0;1;2;1;0;14866;0.0;70.0;360.0;1;0;0;1
LP001518;1;1;1;1;1;0;1538;1425.0;30.0;360.0;1;0;0;1
LP001519;0;0;0;0;1;0;10000;1666.0;225.0;360.0;1;1;0;0
LP001520;1;1;1;0;1;0;4860;830.0;125.0;360.0;1;0;1;0
LP001528;0;1;0;0;1;0;6277;0.0;118.0;360.0;0;1;0;0
LP001529;1;1;1;0;1;1;2577;3750.0;152.0;360.0;1;1;0;0
LP001531;0;1;0;0;1;0;9166;0.0;244.0;360.0;1;0;0;1
LP001532;0;1;1;2;0;0;2281;0.0;113.0;360.0;1;1;0;0
LP001535;1;1;0;0;1;0;3254;0.0;50.0;360.0;1;0;0;1
LP001536;1;1;1;3;1;0;39999;0.0;600.0;180.0;0;0;1;0
LP001541;1;1;1;1;1;0;6000;0.0;160.0;360.0;0;1;0;0
LP001543;1;1;1;1;1;0;9538;0.0;187.0;360.0;1;0;0;1
LP001546;1;1;0;0;1;0;2980;2083.0;120.0;360.0;1;1;0;0
LP001552;1;1;1;0;1;0;4583;5625.0;255.0;360.0;1;0;1;0
LP001560;1;1;1;0;0;0;1863;1041.0;98.0;360.0;1;0;1;0
LP001562;0;1;1;0;1;0;7933;0.0;275.0;360.0;1;0;0;1
LP001565;0;1;1;1;1;0;3089;1280.0;121.0;360.0;0;0;1;0
LP001570;1;1;1;2;1;0;4167;1447.0;158.0;360.0;1;1;0;0
LP001572;1;1;1;0;1;0;9323;0.0;75.0;180.0;1;0;0;1
LP001577;0;0;1;0;1;0;4583;0.0;112.0;360.0;1;1;0;0
LP001578;1;1;1;0;1;0;2439;3333.0;129.0;360.0;1;1;0;0
LP001579;0;1;0;0;1;0;2237;0.0;63.0;480.0;0;0;1;0
LP001580;1;1;1;2;1;0;8000;0.0;200.0;360.0;1;0;1;0
LP001581;1;1;1;0;0;0;1820;1769.0;95.0;360.0;1;1;0;0
LP001585;1;1;1;3;1;0;51763;0.0;700.0;300.0;1;0;0;1
LP001586;0;1;1;3;0;0;3522;0.0;81.0;180.0;1;1;0;0
LP001594;1;1;1;0;1;0;5708;5625.0;187.0;360.0;1;0;1;0
LP001603;0;1;1;0;0;1;4344;736.0;87.0;360.0;1;0;1;0
LP001606;1;1;1;0;1;0;3497;1964.0;116.0;360.0;1;1;0;0
LP001608;1;1;1;2;1;0;2045;1619.0;101.0;360.0;1;1;0;0
LP001610;0;1;1;3;1;0;5516;11300.0;495.0;360.0;0;0;1;0
LP001616;1;1;1;1;1;0;3750;0.0;116.0;360.0;1;0;1;0
LP001630;0;1;0;0;0;0;2333;1451.0;102.0;480.0;0;0;0;1
LP001633;0;1;1;1;1;0;6400;7250.0;180.0;360.0;0;0;0;1
LP001634;0;1;0;0;1;0;1916;5063.0;67.0;360.0;0;1;0;0
LP001636;1;1;1;0;1;0;4600;0.0;73.0;180.0;1;0;1;0
LP001637;0;1;1;1;1;0;33846;0.0;260.0;360.0;1;0;1;0
LP001639;1;0;1;0;1;0;3625;0.0;108.0;360.0;1;0;1;0
LP001640;1;1;1;0;1;1;39147;4750.0;120.0;360.0;1;0;1;0
LP001641;0;1;1;1;1;1;2178;0.0;66.0;300.0;0;1;0;0
LP001643;1;1;1;0;1;0;2383;2138.0;58.0;360.0;0;1;0;0
LP001644;1;1;1;0;1;1;674;5296.0;168.0;360.0;1;1;0;0
LP001647;1;1;1;0;1;0;9328;0.0;188.0;180.0;1;1;0;0
LP001653;1;1;0;0;0;0;4885;0.0;48.0;360.0;1;1;0;0
LP001656;0;1;0;0;1;0;12000;0.0;164.0;360.0;1;0;1;0
LP001657;0;1;1;0;0;0;6033;0.0;160.0;360.0;1;0;0;1
LP001658;1;1;0;0;1;0;3858;0.0;76.0;360.0;1;0;1;0
LP001664;1;1;0;0;1;0;4191;0.0;120.0;360.0;1;1;0;0
LP001665;0;1;1;1;1;0;3125;2583.0;170.0;360.0;1;0;1;0
LP001666;1;1;0;0;1;0;8333;3750.0;187.0;360.0;1;1;0;0
LP001671;1;0;1;0;1;0;3416;2816.0;113.0;360.0;0;0;1;0
LP001673;0;1;0;0;1;1;11000;0.0;83.0;360.0;1;0;0;1
LP001674;1;1;1;1;0;0;2600;2500.0;90.0;360.0;1;0;1;0
LP001677;1;1;0;2;1;0;4923;0.0;166.0;360.0;0;0;1;0
LP001688;1;1;1;1;0;0;3500;1083.0;135.0;360.0;1;0;0;1
LP001691;1;1;1;2;0;0;3917;0.0;124.0;360.0;1;0;1;0
LP001692;1;0;0;0;0;0;4408;0.0;120.0;360.0;1;0;1;0
LP001693;1;0;0;0;1;0;3244;0.0;80.0;360.0;1;0;0;1
LP001698;1;1;0;0;0;0;3975;2531.0;55.0;360.0;1;1;0;0
LP001699;1;1;0;0;1;0;2479;0.0;59.0;360.0;1;0;0;1
LP001702;0;1;0;0;1;0;3418;0.0;127.0;360.0;1;0;1;0
LP001708;0;0;0;0;1;0;10000;0.0;214.0;360.0;1;0;1;0
LP001711;0;1;1;3;1;0;3430;1250.0;128.0;360.0;0;0;1;0
LP001713;1;1;1;1;1;1;7787;0.0;240.0;360.0;1;0;0;1
LP001715;1;1;1;3;0;1;5703;0.0;130.0;360.0;1;1;0;0
LP001716;1;1;1;0;1;0;3173;3021.0;137.0;360.0;1;0;0;1
LP001720;1;1;1;3;0;0;3850;983.0;100.0;360.0;1;0;1;0
LP001722;0;1;1;0;1;0;150;1800.0;135.0;360.0;1;1;0;0
LP001726;1;1;1;0;1;0;3727;1775.0;131.0;360.0;1;0;1;0
LP001732;0;1;1;2;1;0;5000;0.0;72.0;360.0;0;0;1;0
LP001734;1;0;1;2;1;0;4283;2383.0;127.0;360.0;0;0;1;0
LP001736;0;1;1;0;1;0;2221;0.0;60.0;360.0;0;0;0;1
LP001743;1;1;1;2;1;0;4009;1717.0;116.0;360.0;1;0;1;0
LP001744;1;1;0;0;1;0;2971;2791.0;144.0;360.0;1;0;1;0
LP001750;1;1;1;0;1;0;6250;0.0;128.0;360.0;1;0;1;0
LP001751;0;1;1;0;1;0;3250;0.0;170.0;360.0;1;1;0;0
LP001754;0;1;1;0;0;1;4735;0.0;138.0;360.0;1;0;0;1
LP001758;1;1;1;2;1;0;6250;1695.0;210.0;360.0;1;0;1;0
LP001760;1;1;0;0;1;0;4758;0.0;158.0;480.0;1;0;1;0
LP001761;1;1;0;0;1;1;6400;0.0;200.0;360.0;1;1;0;0
LP001765;1;1;1;1;1;0;2491;2054.0;104.0;360.0;1;0;1;0
LP001768;1;1;1;0;1;0;3716;0.0;42.0;180.0;1;1;0;0
LP001776;1;0;0;0;1;0;8333;0.0;280.0;360.0;1;0;1;0
LP001778;1;1;1;1;1;0;3155;1779.0;140.0;360.0;1;0;1;0
LP001784;1;1;1;1;1;0;5500;1260.0;170.0;360.0;1;1;0;0
LP001786;0;1;1;0;1;0;5746;0.0;255.0;360.0;0;0;0;1
LP001788;1;0;0;0;1;1;3463;0.0;122.0;360.0;0;0;0;1
LP001790;1;0;0;1;1;0;3812;0.0;112.0;360.0;1;1;0;0
LP001792;1;1;1;1;1;0;3315;0.0;96.0;360.0;1;0;1;0
LP001798;1;1;1;2;1;0;5819;5000.0;120.0;360.0;1;1;0;0
LP001800;0;1;1;1;0;0;2510;1983.0;140.0;180.0;1;0;0;1
LP001806;1;1;0;0;1;0;2965;5701.0;155.0;60.0;1;0;0;1
LP001807;1;1;1;2;1;1;6250;1300.0;108.0;360.0;1;1;0;0
LP001811;1;1;1;0;0;0;3406;4417.0;123.0;360.0;1;0;1;0
LP001813;0;1;0;0;1;1;6050;4333.0;120.0;180.0;1;0;0;1
LP001814;1;1;1;2;1;0;9703;0.0;112.0;360.0;1;0;0;1
LP001819;1;1;1;1;0;0;6608;0.0;137.0;180.0;1;0;0;1
LP001824;1;1;1;1;1;0;2882;1843.0;123.0;480.0;1;0;1;0
LP001825;1;1;1;0;1;0;1809;1868.0;90.0;360.0;1;0;0;1
LP001835;0;1;1;0;0;0;1668;3890.0;201.0;360.0;0;0;1;0
LP001836;0;0;0;2;1;0;3427;0.0;138.0;360.0;1;0;0;1
LP001841;1;1;0;0;0;1;2583;2167.0;104.0;360.0;1;1;0;0
LP001843;1;1;1;1;0;0;2661;7101.0;279.0;180.0;1;0;1;0
LP001844;0;1;0;0;1;1;16250;0.0;192.0;360.0;0;0;0;1
LP001846;1;0;0;3;1;0;3083;0.0;255.0;360.0;1;1;0;0
LP001849;0;1;0;0;0;0;6045;0.0;115.0;360.0;0;1;0;0
LP001854;0;1;1;3;1;0;5250;0.0;94.0;360.0;1;0;0;1
LP001859;0;1;1;0;1;0;14683;2100.0;304.0;360.0;1;1;0;0
LP001864;0;1;1;3;0;0;4931;0.0;128.0;360.0;0;0;1;0
LP001865;1;1;1;1;1;0;6083;4250.0;330.0;360.0;0;0;0;1
LP001868;1;1;0;0;1;0;2060;2209.0;134.0;360.0;1;0;1;0
LP001870;0;0;0;1;1;0;3481;0.0;155.0;36.0;1;0;1;0
LP001871;1;0;0;0;1;0;7200;0.0;120.0;360.0;1;1;0;0
LP001872;1;1;0;0;1;1;5166;0.0;128.0;360.0;1;0;1;0
LP001875;1;1;0;0;1;0;4095;3447.0;151.0;360.0;1;1;0;0
LP001877;1;1;1;2;1;0;4708;1387.0;150.0;360.0;1;0;1;0
LP001882;1;1;1;3;1;0;4333;1811.0;160.0;360.0;0;0;0;1
LP001883;0;0;0;0;1;0;3418;0.0;135.0;360.0;1;1;0;0
LP001884;1;0;0;1;1;0;2876;1560.0;90.0;360.0;1;0;0;1
LP001888;1;0;0;0;1;0;3237;0.0;30.0;360.0;1;0;0;1
LP001891;1;1;1;0;1;0;11146;0.0;136.0;360.0;1;0;0;1
LP001892;1;1;0;0;1;0;2833;1857.0;126.0;360.0;1;1;0;0
LP001894;1;1;1;0;1;0;2620;2223.0;150.0;360.0;1;0;1;0
LP001896;1;1;1;2;1;0;3900;0.0;90.0;360.0;1;0;1;0
LP001900;1;1;1;1;1;0;2750;1842.0;115.0;360.0;1;0;1;0
LP001903;1;1;1;0;1;0;3993;3274.0;207.0;360.0;1;0;1;0
LP001904;1;1;1;0;1;0;3103;1300.0;80.0;360.0;1;0;0;1
LP001907;1;1;1;0;1;0;14583;0.0;436.0;360.0;1;0;1;0
LP001908;1;0;1;0;0;0;4100;0.0;124.0;360.0;0;1;0;0
LP001910;0;1;0;1;0;1;4053;2426.0;158.0;360.0;0;0;0;1
LP001914;1;1;1;0;1;0;3927;800.0;112.0;360.0;1;0;1;0
LP001915;1;1;1;2;1;0;2301;985.7999877999998;78.0;180.0;1;0;0;1
LP001917;1;0;0;0;1;0;1811;1666.0;54.0;360.0;1;0;0;1
LP001924;1;1;0;0;1;0;3158;3053.0;89.0;360.0;1;1;0;0
LP001925;0;0;0;0;1;1;2600;1717.0;99.0;300.0;1;0;1;0
LP001926;1;1;1;0;1;0;3704;2000.0;120.0;360.0;1;1;0;0
LP001931;1;0;0;0;1;0;4124;0.0;115.0;360.0;1;0;1;0
LP001935;1;1;0;0;1;0;9508;0.0;187.0;360.0;1;1;0;0
LP001936;1;1;1;0;1;0;3075;2416.0;139.0;360.0;1;1;0;0
LP001938;0;1;1;2;1;0;4400;0.0;127.0;360.0;0;0;1;0
LP001940;1;1;1;2;1;0;3153;1560.0;134.0;360.0;1;0;0;1
LP001945;0;0;0;0;1;0;5417;0.0;143.0;480.0;0;0;0;1
LP001947;1;1;1;0;1;0;2383;3334.0;172.0;360.0;1;0;1;0
LP001949;1;1;1;3;1;0;4416;1250.0;110.0;360.0;1;0;0;1
LP001953;1;1;1;1;1;0;6875;0.0;200.0;360.0;1;0;1;0
LP001954;1;0;1;1;1;0;4666;0.0;135.0;360.0;1;0;0;1
LP001955;0;0;0;0;1;0;5000;2541.0;151.0;480.0;1;1;0;0
LP001963;0;1;1;1;1;0;2014;2925.0;113.0;360.0;1;0;0;1
LP001964;0;1;1;0;0;0;1800;2934.0;93.0;360.0;0;0;0;1
LP001972;1;1;1;0;0;0;2875;1750.0;105.0;360.0;1;0;1;0
LP001974;1;0;0;0;1;0;5000;0.0;132.0;360.0;1;1;0;0
LP001977;1;1;1;1;1;0;1625;1803.0;96.0;360.0;1;0;0;1
LP001978;1;1;0;0;1;0;4000;2500.0;140.0;360.0;1;1;0;0
LP001993;1;0;0;0;1;0;3762;1666.0;135.0;360.0;1;1;0;0
LP001994;0;0;0;0;1;0;2400;1863.0;104.0;360.0;0;0;0;1
LP001996;0;1;0;0;1;0;20233;0.0;480.0;360.0;1;1;0;0
LP001998;1;1;1;2;0;0;7667;0.0;185.0;360.0;0;1;0;0
LP002002;1;0;0;0;1;0;2917;0.0;84.0;360.0;1;0;1;0
LP002004;1;1;0;0;0;0;2927;2405.0;111.0;360.0;1;0;1;0
LP002006;1;0;0;0;1;0;2507;0.0;56.0;360.0;1;1;0;0
LP002008;1;1;1;2;1;1;5746;0.0;144.0;84.0;0;1;0;0
LP002024;0;1;1;0;1;0;2473;1843.0;159.0;360.0;1;1;0;0
LP002031;1;1;1;1;0;0;3399;1640.0;111.0;180.0;1;0;0;1
LP002035;1;1;1;2;1;0;3717;0.0;120.0;360.0;1;0;1;0
LP002036;1;1;1;0;1;0;2058;2134.0;88.0;360.0;0;0;0;1
LP002043;1;0;0;1;1;0;3541;0.0;112.0;360.0;0;0;1;0
LP002050;0;1;1;1;1;1;10000;0.0;155.0;360.0;1;1;0;0
LP002051;1;1;1;0;1;0;2400;2167.0;115.0;360.0;1;0;1;0
LP002053;1;1;1;3;1;0;4342;189.0;124.0;360.0;1;0;1;0
LP002055;1;0;0;0;1;0;3166;2985.0;132.0;360.0;0;1;0;0
LP002065;1;1;1;3;1;0;15000;0.0;300.0;360.0;1;1;0;0
LP002067;0;1;1;1;1;1;8666;4983.0;376.0;360.0;0;1;0;0
LP002068;1;1;0;0;1;0;4917;0.0;130.0;360.0;0;1;0;0
LP002082;1;1;1;0;1;1;5818;2160.0;184.0;360.0;1;0;1;0
LP002086;0;0;1;0;1;0;4333;2451.0;110.0;360.0;1;0;0;1
LP002087;1;0;0;0;1;0;2500;0.0;67.0;360.0;1;0;0;1
LP002097;1;1;0;1;1;0;4384;1793.0;117.0;360.0;1;0;0;1
LP002098;1;1;0;0;1;0;2935;0.0;98.0;360.0;1;0;1;0
LP002100;1;1;0;0;1;0;2833;0.0;71.0;360.0;1;0;0;1
LP002101;1;1;1;0;1;0;63337;0.0;490.0;180.0;1;0;0;1
LP002103;1;1;1;1;1;1;9833;1833.0;182.0;180.0;1;0;0;1
LP002110;1;1;1;1;1;0;5250;688.0;160.0;360.0;1;1;0;0
LP002112;1;1;1;2;1;1;2500;4600.0;176.0;360.0;1;1;0;0
LP002114;1;0;0;0;1;0;4160;0.0;71.0;360.0;1;0;1;0
LP002115;0;1;1;3;0;0;2647;1587.0;173.0;360.0;1;1;0;0
LP002116;0;0;0;0;1;0;2378;0.0;46.0;360.0;1;1;0;0
LP002119;1;1;1;1;0;0;4554;1229.0;158.0;360.0;1;0;0;1
LP002126;1;1;1;3;0;0;3173;0.0;74.0;360.0;1;0;1;0
LP002128;1;1;1;2;1;0;2583;2330.0;125.0;360.0;1;1;0;0
LP002129;1;1;1;0;1;0;2499;2458.0;160.0;360.0;1;0;1;0
LP002130;0;1;1;0;0;0;3523;3230.0;152.0;360.0;0;1;0;0
LP002131;1;1;1;2;0;0;3083;2168.0;126.0;360.0;1;0;0;1
LP002137;1;1;1;0;1;0;6333;4583.0;259.0;360.0;0;0;1;0
LP002138;1;1;1;0;1;0;2625;6250.0;187.0;360.0;1;1;0;0
LP002139;1;1;1;0;1;0;9083;0.0;228.0;360.0;1;0;1;0
LP002140;0;1;0;0;1;0;8750;4167.0;308.0;360.0;1;1;0;0
LP002141;1;1;1;3;1;0;2666;2083.0;95.0;360.0;1;1;0;0
LP002142;0;0;1;0;1;1;5500;0.0;105.0;360.0;0;1;0;0
LP002143;1;0;1;0;1;0;2423;505.0;130.0;360.0;1;0;1;0
LP002144;1;0;0;0;1;0;3813;0.0;116.0;180.0;1;0;0;1
LP002149;1;1;1;2;1;0;8333;3167.0;165.0;360.0;1;1;0;0
LP002151;0;1;1;1;1;0;3875;0.0;67.0;360.0;1;0;0;1
LP002158;0;1;1;0;0;0;3000;1666.0;100.0;480.0;0;0;0;1
LP002160;1;1;1;3;1;0;5167;3167.0;200.0;360.0;1;0;1;0
LP002161;0;0;0;1;1;0;4723;0.0;81.0;360.0;1;0;1;0
LP002170;1;1;1;2;1;0;5000;3667.0;236.0;360.0;1;0;1;0
LP002175;1;1;1;0;1;0;4750;2333.0;130.0;360.0;1;0;0;1
LP002178;1;1;1;0;1;0;3013;3033.0;95.0;300.0;0;0;0;1
LP002180;1;1;0;0;1;1;6822;0.0;141.0;360.0;1;1;0;0
