Male;Female;Age;Income(k);SpendingScore
1;0;0.8571428571428571;0.364963503649635;0.5656565656565656
0;1;0.8428571428571429;0.3941605839416058;0.4747474747474747
0;1;0.3714285714285714;0.3941605839416058;0.5454545454545454
1;0;0.6428571428571429;0.3941605839416058;0.5353535353535354
0;1;0.5714285714285714;0.3941605839416058;0.4848484848484848
1;0;0.3285714285714285;0.3941605839416058;0.5252525252525253
1;0;0.7;0.3941605839416058;0.4242424242424242
0;1;0.8142857142857143;0.3941605839416058;0.5151515151515151
0;1;0.5428571428571428;0.3941605839416058;0.5555555555555556
0;1;0.9571428571428572;0.3941605839416058;0.4141414141414141
1;0;0.6571428571428571;0.3941605839416058;0.4444444444444444
1;0;0.3;0.3941605839416058;0.5757575757575758
0;1;0.6857142857142857;0.3941605839416058;0.4646464646464646
1;0;0.7857142857142857;0.4160583941605839;0.5858585858585859
1;0;0.3142857142857143;0.4160583941605839;0.5555555555555556
1;0;0.4857142857142857;0.4233576642335766;0.6060606060606061
1;0;0.7142857142857143;0.4233576642335766;0.4646464646464646
1;0;0.9714285714285714;0.4306569343065693;0.5555555555555556
0;1;0.2571428571428571;0.4306569343065693;0.4141414141414141
0;1;0.6857142857142857;0.437956204379562;0.494949494949495
1;0;0.5714285714285714;0.437956204379562;0.404040404040404
1;0;0.4571428571428571;0.437956204379562;0.4242424242424242
0;1;0.3428571428571428;0.437956204379562;0.5252525252525253
1;0;0.6714285714285714;0.437956204379562;0.4747474747474747
1;0;0.3857142857142857;0.437956204379562;0.5050505050505051
0;1;0.6857142857142857;0.4452554744525547;0.4242424242424242
0;1;0.2857142857142857;0.4452554744525547;0.494949494949495
1;0;0.3285714285714285;0.4525547445255474;0.4141414141414141
1;0;0.7;0.4525547445255474;0.4848484848484848
0;1;0.9571428571428572;0.4525547445255474;0.5959595959595959
0;1;0.3714285714285714;0.4525547445255474;0.5555555555555556
0;1;0.7;0.4525547445255474;0.5656565656565656
1;0;0.3;0.4525547445255474;0.4242424242424242
1;0;0.9428571428571428;0.4598540145985401;0.5050505050505051
0;1;0.7714285714285715;0.4598540145985401;0.4646464646464646
0;1;0.9714285714285714;0.4598540145985401;0.4343434343434343
0;1;0.9428571428571428;0.4598540145985401;0.4848484848484848
0;1;0.9285714285714286;0.4598540145985401;0.5252525252525253
1;0;0.2714285714285714;0.4598540145985401;0.5454545454545454
1;0;0.5428571428571428;0.4671532846715328;0.4242424242424242
0;1;0.2714285714285714;0.4671532846715328;0.4646464646464646
1;0;0.2571428571428571;0.4744525547445255;0.4848484848484848
1;0;0.2714285714285714;0.4744525547445255;0.5050505050505051
1;0;0.9;0.4744525547445255;0.4343434343434343
1;0;0.7;0.4744525547445255;0.5959595959595959
1;0;0.7285714285714285;0.4890510948905109;0.4343434343434343
1;0;0.7142857142857143;0.4890510948905109;0.5757575757575758
0;1;0.3857142857142857;0.4890510948905109;0.5656565656565656
1;0;0.5428571428571428;0.4890510948905109;0.404040404040404
1;0;0.5714285714285714;0.5036496350364964;0.5858585858585859
0;1;0.5571428571428572;0.5036496350364964;0.9191919191919192
1;0;0.3285714285714285;0.5109489051094891;0.2929292929292929
1;0;0.4428571428571428;0.5109489051094891;0.7777777777777778
0;1;0.6142857142857143;0.5182481751824818;0.3535353535353535
0;1;0.5714285714285714;0.5182481751824818;0.9595959595959596
0;1;0.8428571428571429;0.5182481751824818;0.1111111111111111
0;1;0.5428571428571428;0.5182481751824818;0.7575757575757576
0;1;0.6714285714285714;0.5182481751824818;0.0909090909090909
0;1;0.5571428571428572;0.5182481751824818;0.7575757575757576
1;0;0.3571428571428571;0.5255474452554745;0.3434343434343434
1;0;0.4428571428571428;0.5255474452554745;0.7171717171717171
0;1;0.2857142857142857;0.5328467153284672;0.0505050505050505
1;0;0.4142857142857143;0.5328467153284672;0.8888888888888888
1;0;0.6285714285714286;0.5328467153284672;0.0707070707070707
0;1;0.4571428571428571;0.5328467153284672;0.7373737373737373
0;1;0.2714285714285714;0.5401459854014599;0.101010101010101
1;0;0.5;0.5401459854014599;0.7272727272727273
1;0;0.8142857142857143;0.5474452554744526;0.0505050505050505
0;1;0.4571428571428571;0.5474452554744526;0.9393939393939394
1;0;0.4;0.5547445255474452;0.404040404040404
1;0;0.4571428571428571;0.5547445255474452;0.8787878787878788
0;1;0.3571428571428571;0.5620437956204379;0.1212121212121212
0;1;0.4;0.5620437956204379;0.9797979797979798
0;1;0.6857142857142857;0.5620437956204379;0.3636363636363636
1;0;0.4571428571428571;0.5620437956204379;0.7474747474747475
1;0;0.4857142857142857;0.5693430656934306;0.2222222222222222
0;1;0.4857142857142857;0.5693430656934306;0.9090909090909092
0;1;0.6142857142857143;0.5693430656934306;0.1717171717171717
0;1;0.5571428571428572;0.5693430656934306;0.8888888888888888
1;0;0.6285714285714286;0.5693430656934306;0.202020202020202
1;0;0.5428571428571428;0.5693430656934306;0.7676767676767676
1;0;0.6714285714285714;0.5693430656934306;0.1616161616161616
1;0;0.3857142857142857;0.5693430656934306;0.898989898989899
0;1;0.5285714285714286;0.5693430656934306;0.0101010101010101
1;0;0.4285714285714285;0.5693430656934306;0.7878787878787878
0;1;0.4857142857142857;0.5693430656934306;0.0101010101010101
1;0;0.4285714285714285;0.5693430656934306;0.7373737373737373
1;0;0.8;0.5766423357664233;0.3535353535353535
1;0;0.4142857142857143;0.5766423357664233;0.8383838383838383
0;1;0.2714285714285714;0.5912408759124088;0.0505050505050505
1;0;0.4428571428571428;0.5912408759124088;0.9393939393939394
0;1;0.7142857142857143;0.6204379562043796;0.2626262626262626
1;0;0.5142857142857142;0.6204379562043796;0.7575757575757576
0;1;0.6;0.6277372262773723;0.202020202020202
1;0;0.4714285714285714;0.6277372262773723;0.9595959595959596
1;0;0.5142857142857142;0.635036496350365;0.2727272727272727
0;1;0.4571428571428571;0.635036496350365;0.6363636363636364
0;1;0.5714285714285714;0.635036496350365;0.1313131313131313
0;1;0.4;0.635036496350365;0.7575757575757576
0;1;0.5142857142857142;0.635036496350365;0.101010101010101
0;1;0.5142857142857142;0.635036496350365;0.9292929292929292
1;0;0.7428571428571429;0.6423357664233577;0.1313131313131313
1;0;0.4285714285714285;0.6423357664233577;0.8686868686868687
0;1;0.8285714285714286;0.6423357664233577;0.1515151515151515
0;1;0.3857142857142857;0.6423357664233577;0.696969696969697
0;1;0.8428571428571429;0.6788321167883211;0.1414141414141414
0;1;0.5;0.6788321167883211;0.9090909090909092
1;0;0.5285714285714286;0.708029197080292;0.3232323232323232
1;0;0.4571428571428571;0.708029197080292;0.8686868686868687
0;1;0.6571428571428571;0.7153284671532847;0.1515151515151515
1;0;0.4142857142857143;0.7153284671532847;0.8888888888888888
1;0;0.5857142857142857;0.7226277372262774;0.3939393939393939
0;1;0.4285714285714285;0.7226277372262774;0.9797979797979798
1;0;0.7714285714285715;0.7372262773722628;0.2424242424242424
0;1;0.4;0.7372262773722628;0.6868686868686869
1;0;0.5857142857142857;0.7518248175182481;0.1717171717171717
1;0;0.5142857142857142;0.7518248175182481;0.8585858585858586
1;0;0.4857142857142857;0.7518248175182481;0.2323232323232323
1;0;0.4571428571428571;0.7518248175182481;0.696969696969697
0;1;0.4714285714285714;0.8248175182481752;0.0808080808080808
1;0;0.5428571428571428;0.8248175182481752;0.9191919191919192
1;0;0.6714285714285714;0.8759124087591241;0.1616161616161616
1;0;0.5;0.8759124087591241;0.797979797979798
1;0;0.6428571428571429;0.9197080291970804;0.2828282828282828
0;1;0.4571428571428571;0.9197080291970804;0.7474747474747475
0;1;0.4571428571428571;1.0;0.1818181818181818
0;1;0.4285714285714285;1.0;0.8383838383838383
